Block3Type,Block3Stim,Block3Corr
Fix1,stimuli/Soft/9.jpg,left
Fix2,stimuli/Smell/16.jpg,right
Fix1,stimuli/Soft/43.jpg,left
Fix2,stimuli/Smell/33.jpg,right
Cond,stimuli/School/11.jpg,left
Fix2,stimuli/Smell/3.jpg,right
Cond,stimuli/School/12.jpg,left
Fix2,stimuli/Smell/30.jpg,right
Fix2,stimuli/Smell/21.jpg,right
Cond,stimuli/School/58.jpg,left
Fix2,stimuli/Smell/26.jpg,right
Fix1,stimuli/Soft/25.jpg,left
Cond,stimuli/School/46.jpg,right
Fix1,stimuli/Soft/28.jpg,left
Fix2,stimuli/Smell/1.jpg,right
Cond,stimuli/School/5.jpg,left
Fix1,stimuli/Soft/32.jpg,left
Fix1,stimuli/Soft/18.jpg,left
Fix1,stimuli/Soft/50.jpg,left
Cond,stimuli/School/19.jpg,right
Cond,stimuli/School/35.jpg,left
Cond,stimuli/School/42.jpg,right
Fix2,stimuli/Smell/42.jpg,right
Fix2,stimuli/Smell/15.jpg,right
Fix2,stimuli/Smell/59.jpg,right
Cond,stimuli/School/21.jpg,left
Cond,stimuli/School/36.jpg,right
Cond,stimuli/School/40.jpg,left
Fix2,stimuli/Smell/38.jpg,right
Fix1,stimuli/Soft/10.jpg,left
Fix2,stimuli/Smell/5.jpg,right
Fix2,stimuli/Smell/6.jpg,right
Cond,stimuli/School/39.jpg,left
Fix1,stimuli/Soft/31.jpg,left
Fix2,stimuli/Smell/52.jpg,right
Fix2,stimuli/Smell/37.jpg,right
Fix1,stimuli/Soft/59.jpg,left
Fix2,stimuli/Smell/56.jpg,right
Fix2,stimuli/Smell/58.jpg,right
Fix2,stimuli/Smell/40.jpg,right
Fix1,stimuli/Soft/21.jpg,left
Fix1,stimuli/Soft/37.jpg,left
Cond,stimuli/School/26.jpg,right
Cond,stimuli/School/48.jpg,left
Cond,stimuli/School/18.jpg,right
Cond,stimuli/School/55.jpg,left
Cond,stimuli/School/54.jpg,right
Fix2,stimuli/Smell/22.jpg,right
Fix1,stimuli/Soft/30.jpg,left
