Block1Type,Block1Stim,Block1Corr
Fix1,stimuli/Small/58.jpg,left
Cond,stimuli/Smell/1.jpg,right
Cond,stimuli/Smell/18.jpg,left
Cond,stimuli/Smell/23.jpg,right
Cond,stimuli/Smell/3.jpg,left
Fix1,stimuli/Small/30.jpg,left
Fix2,stimuli/School/26.jpg,right
Cond,stimuli/Smell/38.jpg,left
Fix1,stimuli/Small/13.jpg,left
Fix2,stimuli/School/6.jpg,right
Fix1,stimuli/Small/59.jpg,left
Fix1,stimuli/Small/16.jpg,left
Cond,stimuli/Smell/11.jpg,right
Fix2,stimuli/School/53.jpg,right
Fix2,stimuli/School/54.jpg,right
Fix2,stimuli/School/39.jpg,right
Fix1,stimuli/Small/42.jpg,left
Fix1,stimuli/Small/25.jpg,left
Fix1,stimuli/Small/41.jpg,left
Fix2,stimuli/School/42.jpg,right
Fix1,stimuli/Small/48.jpg,left
Fix2,stimuli/School/50.jpg,right
Fix1,stimuli/Small/17.jpg,left
Cond,stimuli/Smell/0.jpg,right
Cond,stimuli/Smell/39.jpg,left
Fix1,stimuli/Small/4.jpg,left
Fix1,stimuli/Small/44.jpg,left
Cond,stimuli/Smell/42.jpg,right
Fix1,stimuli/Small/9.jpg,left
Cond,stimuli/Smell/20.jpg,right
Fix2,stimuli/School/58.jpg,right
Fix1,stimuli/Small/19.jpg,left
Fix2,stimuli/School/41.jpg,right
Fix2,stimuli/School/15.jpg,right
Fix2,stimuli/School/0.jpg,right
Fix1,stimuli/Small/7.jpg,left
Fix1,stimuli/Small/39.jpg,left
Cond,stimuli/Smell/17.jpg,right
Cond,stimuli/Smell/53.jpg,left
Cond,stimuli/Smell/47.jpg,right
Fix2,stimuli/School/30.jpg,right
Cond,stimuli/Smell/27.jpg,left
Cond,stimuli/Smell/35.jpg,right
Fix2,stimuli/School/35.jpg,right
Cond,stimuli/Smell/34.jpg,left
Cond,stimuli/Smell/25.jpg,right
Fix1,stimuli/Small/35.jpg,left
Cond,stimuli/Smell/12.jpg,right
Fix1,stimuli/Small/24.jpg,left
Fix2,stimuli/School/33.jpg,right
Fix2,stimuli/School/25.jpg,right
Fix1,stimuli/Small/31.JPG,left
Cond,stimuli/Smell/44.jpg,right
Fix2,stimuli/School/59.jpg,right
Cond,stimuli/Smell/31.jpg,left
Fix2,stimuli/School/36.jpg,right
Cond,stimuli/Smell/6.jpg,left
Fix1,stimuli/Small/53.jpg,left
Fix1,stimuli/Small/21.jpg,left
Fix1,stimuli/Small/18.jpg,left
Fix2,stimuli/School/20.jpg,right
Cond,stimuli/Smell/50.jpg,left
Fix2,stimuli/School/29.jpg,right
Fix2,stimuli/School/52.jpg,right
Fix1,stimuli/Small/12.jpg,left
Fix1,stimuli/Small/27.jpg,left
Fix2,stimuli/School/13.jpg,right
Cond,stimuli/Smell/10.jpg,left
Fix1,stimuli/Small/56.jpg,left
Fix1,stimuli/Small/43.jpg,left
Fix2,stimuli/School/18.jpg,right
Fix2,stimuli/School/49.jpg,right
Fix2,stimuli/School/45.jpg,right
Fix1,stimuli/Small/37.jpg,left
Cond,stimuli/Smell/19.jpg,right
Fix1,stimuli/Small/5.jpg,left
Fix2,stimuli/School/22.jpg,right
Fix2,stimuli/School/17.jpg,right
Cond,stimuli/Smell/52.jpg,left
Fix2,stimuli/School/57.jpg,right
Fix1,stimuli/Small/29.jpg,left
Fix1,stimuli/Small/34.jpg,left
Fix1,stimuli/Small/14.jpg,left
Cond,stimuli/Smell/46.jpg,right
Fix2,stimuli/School/32.jpg,right
Cond,stimuli/Smell/33.jpg,left
Fix2,stimuli/School/37.jpg,right
Cond,stimuli/Smell/14.jpg,left
Fix2,stimuli/School/11.jpg,right
Cond,stimuli/Smell/8.jpg,left
Fix2,stimuli/School/34.jpg,right
Fix1,stimuli/Small/60.jpg,left
Fix2,stimuli/School/21.jpg,right
Cond,stimuli/Smell/32.jpg,left
Fix1,stimuli/Small/33.jpg,left
Cond,stimuli/Smell/26.jpg,right
Fix1,stimuli/Small/54.jpg,left
Cond,stimuli/Smell/4.jpg,right
Fix1,stimuli/Small/51.jpg,left
Fix1,stimuli/Small/0.jpg,left
Cond,stimuli/Smell/40.jpg,right
Cond,stimuli/Smell/22.jpg,left
Fix1,stimuli/Small/57.jpg,left
Cond,stimuli/Smell/51.jpg,right
Fix1,stimuli/Small/3.jpg,left
Cond,stimuli/Smell/49.jpg,right
Fix2,stimuli/School/10.jpg,right
Fix2,stimuli/School/24.jpg,right
Fix1,stimuli/Small/46.jpg,left
Cond,stimuli/Smell/41.jpg,right
Fix2,stimuli/School/8.jpg,right
Fix2,stimuli/School/19.jpg,right
Cond,stimuli/Smell/7.jpg,left
Fix2,stimuli/School/27.jpg,right
Fix2,stimuli/School/16.jpg,right
Fix1,stimuli/Small/38.jpg,left
Cond,stimuli/Smell/55.jpg,right
Fix1,stimuli/Small/45.jpg,left
Cond,stimuli/Smell/9.jpg,right
Fix2,stimuli/School/44.jpg,right
Fix2,stimuli/School/38.jpg,right
Fix1,stimuli/Small/1.jpg,left
Fix2,stimuli/School/12.jpg,right
Cond,stimuli/Smell/45.jpg,left
Fix1,stimuli/Small/11.jpg,left
Fix1,stimuli/Small/15.jpg,left
Fix1,stimuli/Small/49.jpg,left
Cond,stimuli/Smell/48.jpg,right
Cond,stimuli/Smell/30.jpg,left
Fix1,stimuli/Small/36.jpg,left
Fix2,stimuli/School/47.jpg,right
Fix1,stimuli/Small/52.jpg,left
Fix1,stimuli/Small/50.jpg,left
Cond,stimuli/Smell/28.jpg,right
