Block2Type,Block2Stim,Block2Corr
Fix2,stimuli/Smell/43.jpg,right
Fix2,stimuli/Smell/49.jpg,right
Cond,stimuli/Small/19.jpg,left
Cond,stimuli/Small/49.jpg,right
Fix2,stimuli/Smell/54.jpg,right
Fix1,stimuli/School/14.jpg,left
Fix2,stimuli/Smell/31.jpg,right
Cond,stimuli/Small/18.jpg,left
Fix2,stimuli/Smell/28.jpg,right
Fix2,stimuli/Smell/38.jpg,right
Cond,stimuli/Small/2.jpg,left
Cond,stimuli/Small/27.jpg,right
Cond,stimuli/Small/6.jpg,left
Fix2,stimuli/Smell/32.jpg,right
Fix2,stimuli/Smell/3.jpg,right
Fix1,stimuli/School/37.jpg,left
Fix1,stimuli/School/40.jpg,left
Fix1,stimuli/School/35.jpg,left
Cond,stimuli/Small/51.jpg,right
Fix1,stimuli/School/53.jpg,left
Fix2,stimuli/Smell/23.jpg,right
Cond,stimuli/Small/24.jpg,left
Cond,stimuli/Small/60.jpg,right
Fix1,stimuli/School/12.jpg,left
Cond,stimuli/Small/8.jpg,right
Fix1,stimuli/School/4.jpg,left
Fix2,stimuli/Smell/13.jpg,right
Fix2,stimuli/Smell/55.jpg,right
Fix1,stimuli/School/11.jpg,left
Cond,stimuli/Small/58.jpg,right
Fix2,stimuli/Smell/40.jpg,right
Fix2,stimuli/Smell/34.jpg,right
Fix2,stimuli/Smell/5.jpg,right
Cond,stimuli/Small/59.jpg,left
Fix2,stimuli/Smell/24.jpg,right
Fix1,stimuli/School/42.jpg,left
Fix1,stimuli/School/29.jpg,left
Cond,stimuli/Small/57.jpg,right
Fix2,stimuli/Smell/10.jpg,right
Cond,stimuli/Small/3.jpg,left
Fix2,stimuli/Smell/47.jpg,right
Cond,stimuli/Small/36.jpg,left
Cond,stimuli/Small/9.jpg,right
Fix1,stimuli/School/7.jpg,left
Fix1,stimuli/School/50.jpg,left
Cond,stimuli/Small/7.jpg,right
Fix2,stimuli/Smell/48.jpg,right
Fix2,stimuli/Smell/27.jpg,right
Fix1,stimuli/School/45.jpg,left
Fix1,stimuli/School/28.jpg,left
