Subj,Block,Type,Stim,Corr,Trial,Resp,RT,Succ,TrialType,TrialTypeInt
sub-11,Block1,Fix1,stimuli/Soft/20.JPG,left,51,left,1.00247098999898,1,Fix1-18,18
sub-11,Block1,Cond,stimuli/Healthy/20.jpg,right,52,left,2.02813448500092,0,Cond-19,19
sub-11,Block1,Fix2,stimuli/Smell/30.jpg,right,53,right,1.93307942200045,1,Fix2-17,17
sub-11,Block1,Fix2,stimuli/Smell/16.jpg,right,54,right,0.742151488000673,1,Fix2-18,18
sub-11,Block1,Fix1,stimuli/Soft/57.jpg,left,55,left,0.82193091299996,1,Fix1-19,19
sub-11,Block1,Fix1,stimuli/Soft/50.jpg,left,56,left,1.34541234999779,1,Fix1-20,20
sub-11,Block1,Fix1,stimuli/Soft/25.jpg,left,57,left,0.742388389997359,1,Fix1-21,21
sub-11,Block1,Fix1,stimuli/Soft/3.jpg,left,58,right,1.52584140000181,0,Fix1-22,22
sub-11,Block1,Cond,stimuli/Healthy/13.jpg,right,59,left,5.25554399999965,0,Cond-20,20
sub-11,Block1,Cond,stimuli/Healthy/63.jpg,left,60,left,3.297299140002,1,Cond-21,21
sub-11,Block1,Cond,stimuli/Healthy/23.jpg,right,61,right,3.06607435300248,1,Cond-22,22
sub-11,Block1,Fix1,stimuli/Soft/1.jpg,left,62,left,0.845032050001464,1,Fix1-23,23
sub-11,Block1,Cond,stimuli/Healthy/59.jpg,right,63,right,0.954160602999764,1,Cond-23,23
sub-11,Block1,Cond,stimuli/Healthy/1.jpg,left,64,right,3.31318513299993,0,Cond-24,24
sub-11,Block1,Fix2,stimuli/Smell/3.jpg,right,65,right,0.902950430001511,1,Fix2-19,19
sub-11,Block1,Fix1,stimuli/Soft/51.jpg,left,66,left,0.847139429999515,1,Fix1-24,24
sub-11,Block1,Fix1,stimuli/Soft/10.jpg,left,67,left,1.45912642700205,1,Fix1-25,25
sub-11,Block1,Fix1,stimuli/Soft/0.jpg,left,68,left,0.88311542700103,1,Fix1-26,26
sub-11,Block1,Fix1,stimuli/Soft/54.jpg,left,69,left,5.64607703999718,1,Fix1-27,27
sub-11,Block1,Fix2,stimuli/Smell/24.jpg,right,70,right,6.01920785399852,1,Fix2-20,20
sub-11,Block1,Fix1,stimuli/Soft/48.jpg,left,71,left,1.29276678000315,1,Fix1-28,28
sub-11,Block1,Fix2,stimuli/Smell/7.jpg,right,72,right,4.18028540999876,1,Fix2-21,21
sub-11,Block1,Fix2,stimuli/Smell/32.jpg,right,73,right,1.03579752799851,1,Fix2-22,22
sub-11,Block1,Fix1,stimuli/Soft/43.jpg,left,74,left,0.816894317998958,1,Fix1-29,29
sub-11,Block1,Fix1,stimuli/Soft/40.jpg,left,75,left,0.982463776999793,1,Fix1-30,30
sub-11,Block1,Fix2,stimuli/Smell/59.jpg,right,76,right,0.872409039999184,1,Fix2-23,23
sub-11,Block1,Fix1,stimuli/Soft/35.jpg,left,77,left,0.917340784999396,1,Fix1-31,31
sub-11,Block1,Cond,stimuli/Healthy/47.jpg,right,78,left,0.885742197999207,0,Cond-25,25
sub-11,Block1,Fix1,stimuli/Soft/34.jpg,left,79,left,1.91218067799855,1,Fix1-32,32
sub-11,Block1,Cond,stimuli/Healthy/61.jpg,right,80,left,3.52526491800018,0,Cond-26,26
sub-11,Block1,Fix2,stimuli/Smell/33.jpg,right,81,right,1.48713225499887,1,Fix2-24,24
sub-11,Block1,Fix2,stimuli/Smell/45.jpg,right,82,right,1.08703745300227,1,Fix2-25,25
sub-11,Block1,Cond,stimuli/Healthy/0.jpg,left,83,left,5.64450622000004,1,Cond-27,27
sub-11,Block1,Fix2,stimuli/Smell/8.jpg,right,84,right,1.10421321199829,1,Fix2-26,26
sub-11,Block1,Cond,stimuli/Healthy/66.jpg,left,85,left,1.5890241729976,1,Cond-28,28
sub-11,Block1,Cond,stimuli/Healthy/49.jpg,right,86,left,1.128307580002,0,Cond-29,29
sub-11,Block1,Fix1,stimuli/Soft/58.jpg,left,87,left,0.885783098001411,1,Fix1-33,33
sub-11,Block1,Cond,stimuli/Healthy/32.jpg,right,88,right,2.75900175000061,1,Cond-30,30
sub-11,Block1,Cond,stimuli/Healthy/26.jpg,left,89,left,11.1569463199994,1,Cond-31,31
sub-11,Block1,Fix2,stimuli/Smell/4.jpg,right,90,right,0.778654532998189,1,Fix2-27,27
sub-11,Block1,Fix2,stimuli/Smell/21.jpg,right,91,right,1.2995659929984,1,Fix2-28,28
sub-11,Block1,Fix1,stimuli/Soft/16.jpg,left,92,left,0.997088662999886,1,Fix1-34,34
sub-11,Block1,Fix2,stimuli/Smell/15.jpg,right,93,right,4.21133785500206,1,Fix2-29,29
sub-11,Block1,Fix2,stimuli/Smell/11.jpg,right,94,right,1.62975309299873,1,Fix2-30,30
sub-11,Block1,Fix1,stimuli/Soft/56.jpg,left,95,left,3.51998411499881,1,Fix1-35,35
sub-11,Block1,Cond,stimuli/Healthy/44.jpg,right,96,right,6.57390559499981,1,Cond-32,32
sub-11,Block1,Fix1,stimuli/Soft/26.jpg,left,97,right,5.44860603999769,0,Fix1-36,36
sub-11,Block1,Fix1,stimuli/Soft/8.jpg,left,98,left,2.96613590700144,1,Fix1-37,37
sub-11,Block1,Fix1,stimuli/Soft/6.jpg,left,99,left,1.15674574199875,1,Fix1-38,38
sub-11,Block1,Cond,stimuli/Healthy/31.jpg,right,100,right,3.83846401000119,1,Cond-33,33
sub-11,Block1,Cond,stimuli/Healthy/18.jpg,left,101,left,1.75583844300127,1,Cond-34,34
sub-11,Block1,Fix1,stimuli/Soft/11.jpg,left,102,left,1.47217625000121,1,Fix1-39,39
sub-11,Block1,Cond,stimuli/Healthy/37.jpg,right,103,right,2.08183995999934,1,Cond-35,35
sub-11,Block1,Fix2,stimuli/Smell/25.jpg,right,104,right,1.08532495499821,1,Fix2-31,31
sub-11,Block1,Fix1,stimuli/Soft/31.jpg,left,105,left,0.736819599998853,1,Fix1-40,40
sub-11,Block1,Cond,stimuli/Healthy/9.jpg,right,106,right,1.55508090700096,1,Cond-36,36
sub-11,Block1,Fix2,stimuli/Smell/26.jpg,right,107,right,1.77229344299849,1,Fix2-32,32
sub-11,Block1,Cond,stimuli/Healthy/17.jpg,left,108,left,0.844669206999242,1,Cond-37,37
sub-11,Block1,Fix1,stimuli/Soft/27.jpg,left,109,left,1.17701810500148,1,Fix1-41,41
sub-11,Block1,Cond,stimuli/Healthy/11.jpg,right,110,right,1.46623065499807,1,Cond-38,38
sub-11,Block1,Fix1,stimuli/Soft/18.jpg,left,111,left,1.7257987999983,1,Fix1-42,42
sub-11,Block1,Fix1,stimuli/Soft/38.jpg,left,112,left,2.21282695800255,1,Fix1-43,43
sub-11,Block1,Fix2,stimuli/Smell/43.jpg,right,113,right,0.738554884999758,1,Fix2-33,33
sub-11,Block1,Fix2,stimuli/Smell/47.jpg,right,114,right,0.787353324998548,1,Fix2-34,34
sub-11,Block1,Fix1,stimuli/Soft/21.jpg,left,115,left,2.0526802150016,1,Fix1-44,44
sub-11,Block1,Cond,stimuli/Healthy/62.jpg,right,116,right,1.64526648500032,1,Cond-39,39
sub-11,Block1,Cond,stimuli/Healthy/36.jpg,left,117,right,2.39157118000003,0,Cond-40,40
sub-11,Block1,Fix1,stimuli/Soft/30.jpg,left,118,left,1.04865270500159,1,Fix1-45,45
sub-11,Block1,Fix2,stimuli/Smell/46.jpg,right,119,right,3.11967248499786,1,Fix2-35,35
sub-11,Block1,Fix2,stimuli/Smell/51.jpg,right,120,right,0.799359362001269,1,Fix2-36,36
sub-11,Block1,Fix2,stimuli/Smell/20.jpg,right,121,right,1.80980006800019,1,Fix2-37,37
sub-11,Block1,Cond,stimuli/Healthy/14.jpg,left,122,left,4.24596462499903,1,Cond-41,41
sub-11,Block1,Cond,stimuli/Healthy/19.jpg,right,123,right,1.15482978499858,1,Cond-42,42
sub-11,Block1,Cond,stimuli/Healthy/6.jpg,left,124,left,1.51228209700275,1,Cond-43,43
sub-11,Block1,Cond,stimuli/Healthy/56.jpg,right,125,right,1.19729007999922,1,Cond-44,44
sub-11,Block1,Fix2,stimuli/Smell/19.jpg,right,126,right,2.51714903800166,1,Fix2-38,38
sub-11,Block1,Cond,stimuli/Healthy/68.jpg,left,127,left,2.69491429799746,1,Cond-45,45
sub-11,Block1,Fix2,stimuli/Smell/52.jpg,right,128,right,0.855529525000748,1,Fix2-39,39
sub-11,Block1,Fix1,stimuli/Soft/19.jpg,left,129,left,0.963782233000529,1,Fix1-46,46
sub-11,Block1,Fix1,stimuli/Soft/33.jpg,left,130,left,0.7391583000026,1,Fix1-47,47
sub-11,Block1,Fix2,stimuli/Smell/39.jpg,right,131,right,1.30568649200359,1,Fix2-40,40
sub-11,Block1,Fix2,stimuli/Smell/1.jpg,right,132,right,1.07299182700081,1,Fix2-41,41
sub-11,Block1,Cond,stimuli/Healthy/8.jpg,left,133,left,1.10245380500055,1,Cond-46,46
sub-11,Block1,Fix2,stimuli/Smell/38.jpg,right,134,right,1.02412943500167,1,Fix2-42,42
sub-11,Block1,Fix2,stimuli/Smell/41.jpg,right,135,right,0.72650016300031,1,Fix2-43,43
sub-11,Block1,Fix1,stimuli/Soft/9.jpg,left,136,left,1.3153040799989,1,Fix1-48,48
sub-11,Block1,Fix1,stimuli/Soft/59.jpg,left,137,left,1.60616002700044,1,Fix1-49,49
sub-11,Block1,Fix2,stimuli/Smell/17.jpg,right,138,right,0.857721792999655,1,Fix2-44,44
sub-11,Block1,Fix2,stimuli/Smell/36.jpg,right,139,right,0.848644924997643,1,Fix2-45,45
sub-11,Block1,Fix2,stimuli/Smell/2.jpg,right,140,right,0.847647283000697,1,Fix2-46,46
sub-11,Block1,Fix2,stimuli/Smell/9.jpg,right,141,right,0.740411365000909,1,Fix2-47,47
sub-11,Block1,Fix1,stimuli/Soft/17.jpg,left,142,left,1.72290735199931,1,Fix1-50,50
sub-11,Block1,Fix2,stimuli/Smell/40.jpg,right,143,right,1.00330601500173,1,Fix2-48,48
sub-11,Block1,Cond,stimuli/Healthy/21.jpg,left,144,left,1.33741519999967,1,Cond-47,47
sub-11,Block1,Cond,stimuli/Healthy/64.jpg,right,145,right,1.27847941200162,1,Cond-48,48
sub-11,Block1,Fix1,stimuli/Soft/24.jpg,left,146,left,1.16499907500111,1,Fix1-51,51
sub-11,Block1,Cond,stimuli/Healthy/45.jpg,right,147,right,1.39030640300189,1,Cond-49,49
