Subj,Block,dp
sub-11,Block1,3.511
sub-12,Block1,3.29
sub-21,Block1,0.908
sub-41,Block1,2.35
sub-42,Block1,-0.169
sub-11,Block2,1.402
sub-12,Block2,3.29
sub-21,Block2,3.002
sub-41,Block2,1.745
sub-42,Block2,-0.126
sub-11,Block3,2.884
sub-12,Block3,2.343
sub-21,Block3,1.492
sub-41,Block3,1.82
sub-42,Block3,0.294
