Block3Type,Block3Stim,Block3Corr
Fix2,stimuli/Old/54.jpg,right
Fix1,stimuli/Soft/23.jpg,left
Fix1,stimuli/Soft/48.jpg,left
Fix2,stimuli/Old/14.jpg,right
Fix2,stimuli/Old/31.jpg,right
Fix1,stimuli/Soft/39.jpg,left
Cond,stimuli/Smell/41.jpg,right
Cond,stimuli/Smell/16.jpg,left
Fix1,stimuli/Soft/24.jpg,left
Cond,stimuli/Smell/47.jpg,right
Cond,stimuli/Smell/23.jpg,left
Fix1,stimuli/Soft/25.jpg,left
Fix1,stimuli/Soft/1.jpg,left
Cond,stimuli/Smell/7.jpg,right
Cond,stimuli/Smell/28.jpg,left
Cond,stimuli/Smell/11.jpg,right
Cond,stimuli/Smell/49.jpg,left
Fix2,stimuli/Old/59.jpg,right
Fix2,stimuli/Old/35.jpg,right
Fix2,stimuli/Old/33.jpg,right
Cond,stimuli/Smell/4.jpg,left
Cond,stimuli/Smell/6.jpg,right
Cond,stimuli/Smell/44.jpg,left
Fix2,stimuli/Old/20.jpg,right
Fix2,stimuli/Old/19.jpg,right
Fix2,stimuli/Old/43.jpg,right
Cond,stimuli/Smell/25.jpg,left
Fix2,stimuli/Old/11.jpg,right
Fix2,stimuli/Old/51.jpg,right
Fix1,stimuli/Soft/47.jpg,left
Cond,stimuli/Smell/36.jpg,right
Fix2,stimuli/Old/23.jpg,right
Fix2,stimuli/Old/41.jpg,right
Fix1,stimuli/Soft/57.jpg,left
Fix1,stimuli/Soft/21.jpg,left
Fix1,stimuli/Soft/46.jpg,left
Fix2,stimuli/Old/5.jpg,right
Cond,stimuli/Smell/9.jpg,left
Fix1,stimuli/Soft/38.jpg,left
Cond,stimuli/Smell/38.jpg,right
Fix1,stimuli/Soft/36.jpg,left
Cond,stimuli/Smell/43.jpg,right
Fix1,stimuli/Soft/28.jpg,left
Fix2,stimuli/Old/4.jpg,right
Cond,stimuli/Smell/20.jpg,left
Cond,stimuli/Smell/12.jpg,right
Fix2,stimuli/Old/50.jpg,right
Cond,stimuli/Smell/15.jpg,left
Fix2,stimuli/Old/27.jpg,right
Cond,stimuli/Smell/24.jpg,left
Fix1,stimuli/Soft/37.jpg,left
