Block1Type,Block1Stim,Block1Corr
Fix1,stimuli/Smell/20.jpg,right
Fix2,stimuli/Old/58.jpg,left
Fix2,stimuli/Old/38.jpg,left
Fix1,stimuli/Smell/3.jpg,right
Fix1,stimuli/Smell/17.jpg,right
Fix1,stimuli/Smell/1.jpg,right
Fix2,stimuli/Old/59.jpg,left
Fix1,stimuli/Smell/42.jpg,right
Fix1,stimuli/Smell/13.jpg,right
Fix1,stimuli/Smell/49.jpg,right
Cond,stimuli/Wealth/40.jpg,left
Cond,stimuli/Wealth/56.jpg,right
Fix2,stimuli/Old/39.jpg,left
Cond,stimuli/Wealth/14.jpg,right
Fix2,stimuli/Old/34.jpg,left
Fix1,stimuli/Smell/22.jpg,right
Cond,stimuli/Wealth/7.jpg,left
Cond,stimuli/Wealth/20.jpg,right
Fix2,stimuli/Old/9.jpg,left
Cond,stimuli/Wealth/12.jpg,right
Fix2,stimuli/Old/33.jpg,left
Cond,stimuli/Wealth/54.jpg,right
Fix1,stimuli/Smell/57.jpg,right
Fix1,stimuli/Smell/4.jpg,right
Fix2,stimuli/Old/20.jpg,left
Cond,stimuli/Wealth/23.jpg,right
Cond,stimuli/Wealth/34.jpg,left
Fix1,stimuli/Smell/33.jpg,right
Fix2,stimuli/Old/26.jpg,left
Fix1,stimuli/Smell/11.jpg,right
Fix2,stimuli/Old/8.jpg,left
Fix1,stimuli/Smell/51.jpg,right
Cond,stimuli/Wealth/5.jpg,left
Fix2,stimuli/Old/40.jpg,left
Fix2,stimuli/Old/17.jpg,left
Fix2,stimuli/Old/16.jpg,left
Fix1,stimuli/Smell/21.jpg,right
Cond,stimuli/Wealth/6.jpg,left
Fix1,stimuli/Smell/15.jpg,right
Fix1,stimuli/Smell/16.jpg,right
Cond,stimuli/Wealth/15.jpg,left
Fix2,stimuli/Old/14.jpg,left
Fix2,stimuli/Old/42.jpg,left
Fix1,stimuli/Smell/24.jpg,right
Fix2,stimuli/Old/23.jpg,left
Fix1,stimuli/Smell/5.jpg,right
Cond,stimuli/Wealth/47.jpg,left
Fix1,stimuli/Smell/43.jpg,right
Cond,stimuli/Wealth/30.jpg,left
Fix1,stimuli/Smell/55.jpg,right
Fix1,stimuli/Smell/31.jpg,right
Fix2,stimuli/Old/21.jpg,left
Fix2,stimuli/Old/18.jpg,left
Fix2,stimuli/Old/49.jpg,left
Fix1,stimuli/Smell/19.jpg,right
Fix1,stimuli/Smell/47.jpg,right
Cond,stimuli/Wealth/22.jpg,left
Fix1,stimuli/Smell/41.jpg,right
Fix2,stimuli/Old/29.jpg,left
Fix2,stimuli/Old/5.jpg,left
Fix2,stimuli/Old/43.jpg,left
Fix1,stimuli/Smell/23.jpg,right
Cond,stimuli/Wealth/27.jpg,left
Cond,stimuli/Wealth/4.jpg,right
Fix2,stimuli/Old/1.jpg,left
Fix1,stimuli/Smell/38.jpg,right
Cond,stimuli/Wealth/51.jpg,left
Fix1,stimuli/Smell/27.jpg,right
Fix1,stimuli/Smell/14.jpg,right
Fix1,stimuli/Smell/56.jpg,right
Cond,stimuli/Wealth/17.jpg,left
Fix2,stimuli/Old/24.jpg,left
Cond,stimuli/Wealth/53.jpg,right
Cond,stimuli/Wealth/48.jpg,left
Fix2,stimuli/Old/31.jpg,left
Cond,stimuli/Wealth/26.jpg,right
Fix1,stimuli/Smell/10.jpg,right
Fix1,stimuli/Smell/44.jpg,right
Cond,stimuli/Wealth/45.jpg,left
Cond,stimuli/Wealth/32.jpg,right
Fix2,stimuli/Old/46.jpg,left
Fix1,stimuli/Smell/50.jpg,right
Cond,stimuli/Wealth/3.jpg,left
Fix2,stimuli/Old/19.jpg,left
Fix2,stimuli/Old/7.jpg,left
Cond,stimuli/Wealth/50.jpg,right
Fix2,stimuli/Old/25.jpg,left
Cond,stimuli/Wealth/24.jpg,right
Cond,stimuli/Wealth/36.jpg,left
Cond,stimuli/Wealth/41.jpg,right
Fix1,stimuli/Smell/25.jpg,right
Cond,stimuli/Wealth/59.jpg,left
Fix1,stimuli/Smell/40.jpg,right
Fix1,stimuli/Smell/6.jpg,right
Fix2,stimuli/Old/44.jpg,left
Cond,stimuli/Wealth/11.jpg,right
Fix2,stimuli/Old/2.jpg,left
Fix2,stimuli/Old/15.jpg,left
Fix2,stimuli/Old/48.jpg,left
Cond,stimuli/Wealth/8.jpg,right
Cond,stimuli/Wealth/9.jpg,left
Fix2,stimuli/Old/22.jpg,left
Cond,stimuli/Wealth/0.jpg,right
Cond,stimuli/Wealth/57.jpg,left
Cond,stimuli/Wealth/35.jpg,right
Fix2,stimuli/Old/50.jpg,left
Fix2,stimuli/Old/27.jpg,left
Fix1,stimuli/Smell/39.jpg,right
Fix2,stimuli/Old/41.jpg,left
Cond,stimuli/Wealth/25.jpg,right
Cond,stimuli/Wealth/46.jpg,left
Cond,stimuli/Wealth/39.jpg,right
Fix2,stimuli/Old/56.jpg,left
Cond,stimuli/Wealth/18.jpg,right
Fix1,stimuli/Smell/28.jpg,right
Fix1,stimuli/Smell/0.jpg,right
Cond,stimuli/Wealth/44.jpg,left
Fix2,stimuli/Old/45.jpg,left
Fix2,stimuli/Old/12.jpg,left
Fix2,stimuli/Old/47.jpg,left
Fix1,stimuli/Smell/52.jpg,right
Fix1,stimuli/Smell/34.jpg,right
Fix1,stimuli/Smell/46.jpg,right
Cond,stimuli/Wealth/2.jpg,left
Fix1,stimuli/Smell/9.jpg,right
Fix1,stimuli/Smell/32.jpg,right
Fix2,stimuli/Old/36.jpg,left
Fix1,stimuli/Smell/54.jpg,right
Fix2,stimuli/Old/10.jpg,left
Fix1,stimuli/Smell/30.jpg,right
Cond,stimuli/Wealth/43.jpg,left
Fix2,stimuli/Old/6.jpg,left
Fix1,stimuli/Smell/45.jpg,right
Cond,stimuli/Wealth/38.jpg,left
Fix1,stimuli/Smell/12.jpg,right
Cond,stimuli/Wealth/42.jpg,left
Cond,stimuli/Wealth/49.jpg,right
Fix1,stimuli/Smell/2.jpg,right
Cond,stimuli/Wealth/19.jpg,left
Fix2,stimuli/Old/28.jpg,left
Fix1,stimuli/Smell/36.jpg,right
Fix2,stimuli/Old/57.jpg,left
Cond,stimuli/Wealth/33.jpg,right
Fix2,stimuli/Old/52.jpg,left
Fix1,stimuli/Smell/37.jpg,right
Fix1,stimuli/Smell/7.jpg,right
Cond,stimuli/Wealth/52.jpg,left
Fix2,stimuli/Old/0.jpg,left
Fix1,stimuli/Smell/53.jpg,right
Fix2,stimuli/Old/54.jpg,left
Fix2,stimuli/Old/11.jpg,left
Fix2,stimuli/Old/13.jpg,left
Cond,stimuli/Wealth/29.jpg,right
Cond,stimuli/Wealth/16.jpg,left
Cond,stimuli/Wealth/1.jpg,right
Fix2,stimuli/Old/51.jpg,left
Fix1,stimuli/Smell/29.jpg,right
Fix2,stimuli/Old/3.jpg,left
Fix2,stimuli/Old/53.jpg,left
Fix2,stimuli/Old/37.jpg,left
Fix1,stimuli/Smell/8.jpg,right
Cond,stimuli/Wealth/37.jpg,left
Fix1,stimuli/Smell/58.jpg,right
Cond,stimuli/Wealth/13.jpg,left
Fix2,stimuli/Old/35.jpg,left
Fix2,stimuli/Old/32.jpg,left
Fix1,stimuli/Smell/35.jpg,right
Fix1,stimuli/Smell/48.jpg,right
Cond,stimuli/Wealth/58.jpg,left
Cond,stimuli/Wealth/31.jpg,right
Cond,stimuli/Wealth/28.jpg,left
Fix1,stimuli/Smell/18.jpg,right
Cond,stimuli/Wealth/10.jpg,left
Fix2,stimuli/Old/30.jpg,left
Fix2,stimuli/Old/4.jpg,left
Fix1,stimuli/Smell/26.jpg,right
Fix1,stimuli/Smell/59.jpg,right
Cond,stimuli/Wealth/55.jpg,left
Fix2,stimuli/Old/55.jpg,left
Cond,stimuli/Wealth/21.jpg,right
