Block2Type,Block2Stim,Block2Corr
Fix1,stimuli/Old/24.jpg,left
Fix1,stimuli/Old/51.jpg,left
Cond,stimuli/Wealth/13.jpg,right
Fix2,stimuli/Dangerous/8.jpg,right
Cond,stimuli/Wealth/3.jpg,left
Cond,stimuli/Wealth/52.jpg,right
Fix2,stimuli/Dangerous/37.jpg,right
Cond,stimuli/Wealth/24.jpg,left
Fix1,stimuli/Old/28.jpg,left
Cond,stimuli/Wealth/37.jpg,right
Fix2,stimuli/Dangerous/12.jpg,right
Fix1,stimuli/Old/23.jpg,left
Fix1,stimuli/Old/29.jpg,left
Cond,stimuli/Wealth/29.jpg,right
Cond,stimuli/Wealth/5.jpg,left
Fix2,stimuli/Dangerous/22.jpg,right
Cond,stimuli/Wealth/10.jpg,left
Cond,stimuli/Wealth/56.jpg,right
Fix1,stimuli/Old/1.jpg,left
Cond,stimuli/Wealth/46.jpg,right
Fix1,stimuli/Old/56.jpg,left
Fix2,stimuli/Dangerous/50.jpg,right
Cond,stimuli/Wealth/53.jpg,left
Cond,stimuli/Wealth/54.jpg,right
Fix2,stimuli/Dangerous/29.jpg,right
Cond,stimuli/Wealth/23.jpg,left
Cond,stimuli/Wealth/11.jpg,right
Fix2,stimuli/Dangerous/41.jpg,right
Fix2,stimuli/Dangerous/9.jpg,right
Fix2,stimuli/Dangerous/53.jpg,right
Fix2,stimuli/Dangerous/19.jpg,right
Cond,stimuli/Wealth/50.jpg,left
Fix2,stimuli/Dangerous/42.jpg,right
Fix1,stimuli/Old/3.jpg,left
Fix1,stimuli/Old/40.jpg,left
Fix2,stimuli/Dangerous/2.jpg,right
Fix1,stimuli/Old/50.jpg,left
Fix1,stimuli/Old/35.jpg,left
Cond,stimuli/Wealth/34.jpg,right
Fix1,stimuli/Old/17.jpg,left
Fix2,stimuli/Dangerous/25.jpg,right
Fix2,stimuli/Dangerous/56.jpg,right
Fix1,stimuli/Old/30.jpg,left
Fix2,stimuli/Dangerous/43.jpg,right
Fix2,stimuli/Dangerous/6.jpg,right
Cond,stimuli/Wealth/28.jpg,left
Fix1,stimuli/Old/57.jpg,left
Fix2,stimuli/Dangerous/59.jpg,right
Fix2,stimuli/Dangerous/21.jpg,right
Fix1,stimuli/Old/18.jpg,left
Cond,stimuli/Wealth/30.jpg,right
Cond,stimuli/Wealth/26.jpg,left
Fix2,stimuli/Dangerous/45.jpg,right
Fix1,stimuli/Old/6.jpg,left
