Block3Type,Block3Stim,Block3Corr
Fix1,stimuli/Smell/54.jpg,left
Fix1,stimuli/Smell/29.jpg,left
Cond,stimuli/Old/17.jpg,right
Fix1,stimuli/Smell/49.jpg,left
Fix2,stimuli/Dangerous/38.jpg,right
Cond,stimuli/Old/3.jpg,left
Fix1,stimuli/Smell/45.jpg,left
Fix1,stimuli/Smell/52.jpg,left
Fix2,stimuli/Dangerous/55.jpg,right
Fix1,stimuli/Smell/39.jpg,left
Fix1,stimuli/Smell/5.jpg,left
Fix2,stimuli/Dangerous/36.jpg,right
Fix2,stimuli/Dangerous/0.jpg,right
Cond,stimuli/Old/54.jpg,left
Cond,stimuli/Old/42.jpg,right
Cond,stimuli/Old/38.jpg,left
Cond,stimuli/Old/10.jpg,right
Cond,stimuli/Old/27.jpg,left
Cond,stimuli/Old/36.jpg,right
Fix1,stimuli/Smell/4.jpg,left
Fix2,stimuli/Dangerous/32.jpg,right
Cond,stimuli/Old/28.jpg,left
Cond,stimuli/Old/48.jpg,right
Fix2,stimuli/Dangerous/8.jpg,right
Fix1,stimuli/Smell/9.jpg,left
Fix1,stimuli/Smell/59.jpg,left
Fix2,stimuli/Dangerous/34.jpg,right
Fix1,stimuli/Smell/17.jpg,left
Fix2,stimuli/Dangerous/54.jpg,right
Fix2,stimuli/Dangerous/46.jpg,right
Fix1,stimuli/Smell/53.jpg,left
Fix1,stimuli/Smell/38.jpg,left
Cond,stimuli/Old/49.jpg,right
Cond,stimuli/Old/18.jpg,left
Fix2,stimuli/Dangerous/3.jpg,right
Fix1,stimuli/Smell/26.jpg,left
Fix1,stimuli/Smell/21.jpg,left
Fix1,stimuli/Smell/40.jpg,left
Cond,stimuli/Old/53.jpg,right
Fix1,stimuli/Smell/28.jpg,left
Fix1,stimuli/Smell/35.jpg,left
Fix2,stimuli/Dangerous/44.jpg,right
Fix2,stimuli/Dangerous/33.jpg,right
Fix1,stimuli/Smell/50.jpg,left
Fix2,stimuli/Dangerous/49.jpg,right
Cond,stimuli/Old/15.jpg,left
Fix1,stimuli/Smell/57.jpg,left
Cond,stimuli/Old/23.jpg,right
Fix1,stimuli/Smell/15.jpg,left
Fix2,stimuli/Dangerous/16.jpg,right
Cond,stimuli/Old/56.jpg,left
Fix1,stimuli/Smell/47.jpg,left
Fix2,stimuli/Dangerous/6.jpg,right
Cond,stimuli/Old/40.jpg,left
Cond,stimuli/Old/24.jpg,right
Cond,stimuli/Old/34.jpg,left
Fix1,stimuli/Smell/24.jpg,left
Fix2,stimuli/Dangerous/30.jpg,right
Cond,stimuli/Old/47.jpg,left
Fix1,stimuli/Smell/11.jpg,left
Fix2,stimuli/Dangerous/35.jpg,right
Fix1,stimuli/Smell/16.jpg,left
Cond,stimuli/Old/4.jpg,right
Cond,stimuli/Old/58.jpg,left
Fix2,stimuli/Dangerous/12.jpg,right
Fix2,stimuli/Dangerous/4.jpg,right
Cond,stimuli/Old/8.jpg,left
Fix2,stimuli/Dangerous/5.jpg,right
Fix2,stimuli/Dangerous/57.jpg,right
Fix2,stimuli/Dangerous/41.jpg,right
Fix2,stimuli/Dangerous/9.jpg,right
Cond,stimuli/Old/19.jpg,left
Fix2,stimuli/Dangerous/25.jpg,right
Fix1,stimuli/Smell/44.jpg,left
Cond,stimuli/Old/45.jpg,right
Fix2,stimuli/Dangerous/37.jpg,right
Fix2,stimuli/Dangerous/52.jpg,right
Fix1,stimuli/Smell/48.jpg,left
Cond,stimuli/Old/52.jpg,right
Cond,stimuli/Old/26.jpg,left
Cond,stimuli/Old/50.jpg,right
Cond,stimuli/Old/32.jpg,left
Fix1,stimuli/Smell/7.jpg,left
Fix2,stimuli/Dangerous/26.jpg,right
Fix1,stimuli/Smell/6.jpg,left
Cond,stimuli/Old/5.jpg,right
Fix1,stimuli/Smell/0.jpg,left
Cond,stimuli/Old/22.jpg,right
Fix2,stimuli/Dangerous/48.jpg,right
