Block3Type,Block3Stim,Block3Corr
Fix2,stimuli/Sad/55.jpg,right
Cond,stimuli/School/39.jpg,left
Cond,stimuli/School/56.jpg,right
Fix1,stimuli/Small/29.jpg,left
Cond,stimuli/School/44.jpg,right
Cond,stimuli/School/28.jpg,left
Cond,stimuli/School/27.jpg,right
Fix1,stimuli/Small/37.jpg,left
Cond,stimuli/School/51.jpg,right
Fix2,stimuli/Sad/16.jpg,right
Fix1,stimuli/Small/15.jpg,left
Fix1,stimuli/Small/55.jpg,left
Fix2,stimuli/Sad/33.jpg,right
Fix2,stimuli/Sad/44.jpg,right
Fix2,stimuli/Sad/9.jpg,right
Cond,stimuli/School/42.jpg,left
Fix1,stimuli/Small/24.jpg,left
Fix1,stimuli/Small/4.jpg,left
Cond,stimuli/School/32.jpg,right
Fix2,stimuli/Sad/53.jpg,right
Fix2,stimuli/Sad/40.jpg,right
Fix2,stimuli/Sad/38.jpg,right
Fix1,stimuli/Small/41.jpg,left
Fix1,stimuli/Small/36.jpg,left
Cond,stimuli/School/10.jpg,right
Fix2,stimuli/Sad/51.jpg,right
Cond,stimuli/School/58.jpg,left
Fix1,stimuli/Small/33.jpg,left
Cond,stimuli/School/25.jpg,right
Fix2,stimuli/Sad/15.jpg,right
Cond,stimuli/School/14.jpg,left
Fix2,stimuli/Sad/4.jpg,right
Cond,stimuli/School/57.jpg,left
Fix1,stimuli/Small/50.jpg,left
Cond,stimuli/School/33.jpg,right
Cond,stimuli/School/20.jpg,left
Cond,stimuli/School/53.jpg,right
Fix1,stimuli/Small/46.jpg,left
Fix2,stimuli/Sad/37.jpg,right
Cond,stimuli/School/2.jpg,left
Fix1,stimuli/Small/18.jpg,left
Fix2,stimuli/Sad/18.jpg,right
Fix1,stimuli/Small/13.jpg,left
Fix2,stimuli/Sad/7.jpg,right
Fix2,stimuli/Sad/1.jpg,right
Fix1,stimuli/Small/26.jpg,left
Fix2,stimuli/Sad/19.jpg,right
Cond,stimuli/School/29.jpg,left
Fix1,stimuli/Small/6.jpg,left
Fix1,stimuli/Small/12.jpg,left
Cond,stimuli/School/37.jpg,right
Fix1,stimuli/Small/11.jpg,left
Fix2,stimuli/Sad/12.jpg,right
Fix1,stimuli/Small/34.jpg,left
Fix2,stimuli/Sad/13.jpg,right
Fix1,stimuli/Small/42.jpg,left
Cond,stimuli/School/8.jpg,right
Fix1,stimuli/Small/45.jpg,left
Fix1,stimuli/Small/25.jpg,left
Fix1,stimuli/Small/21.jpg,left
Fix2,stimuli/Sad/43.jpg,right
Fix2,stimuli/Sad/57.jpg,right
Fix2,stimuli/Sad/24.jpg,right
Cond,stimuli/School/5.jpg,left
Fix2,stimuli/Sad/3.jpg,right
