Block2Type,Block2Stim,Block2Corr
Fix1,stimuli/Smell/47.jpg,left
Fix1,stimuli/Smell/31.jpg,left
Cond,stimuli/Healthy/53.jpg,right
Fix2,stimuli/Soft/53.jpg,right
Cond,stimuli/Healthy/25.jpg,left
Fix1,stimuli/Smell/58.jpg,left
Fix2,stimuli/Soft/58.jpg,right
Fix2,stimuli/Soft/38.jpg,right
Fix2,stimuli/Soft/35.jpg,right
Fix1,stimuli/Smell/18.jpg,left
Fix2,stimuli/Soft/48.jpg,right
Cond,stimuli/Healthy/21.jpg,left
Fix1,stimuli/Smell/35.jpg,left
Fix2,stimuli/Soft/8.jpg,right
Fix1,stimuli/Smell/14.jpg,left
Fix1,stimuli/Smell/27.jpg,left
Fix2,stimuli/Soft/10.jpg,right
Cond,stimuli/Healthy/58.jpg,left
Cond,stimuli/Healthy/50.jpg,right
Fix1,stimuli/Smell/1.jpg,left
Fix1,stimuli/Smell/56.jpg,left
Cond,stimuli/Healthy/46.jpg,right
Fix1,stimuli/Smell/23.jpg,left
Cond,stimuli/Healthy/26.jpg,right
Cond,stimuli/Healthy/67.jpg,left
Fix2,stimuli/Soft/29.jpg,right
Fix2,stimuli/Soft/49.jpg,right
Fix1,stimuli/Smell/15.jpg,left
Fix2,stimuli/Soft/4.jpg,right
Cond,stimuli/Healthy/65.jpg,left
Fix1,stimuli/Smell/13.jpg,left
Fix2,stimuli/Soft/11.jpg,right
Cond,stimuli/Healthy/60.jpg,left
Fix1,stimuli/Smell/42.jpg,left
Fix2,stimuli/Soft/20.JPG,right
Fix2,stimuli/Soft/24.jpg,right
Fix1,stimuli/Smell/21.jpg,left
Cond,stimuli/Healthy/24.jpg,right
Fix1,stimuli/Smell/43.jpg,left
Fix1,stimuli/Smell/9.jpg,left
Fix1,stimuli/Smell/19.jpg,left
Fix1,stimuli/Smell/57.jpg,left
Fix1,stimuli/Smell/55.jpg,left
Fix1,stimuli/Smell/39.jpg,left
Fix1,stimuli/Smell/0.jpg,left
Cond,stimuli/Healthy/23.jpg,right
Fix2,stimuli/Soft/6.jpg,right
Fix1,stimuli/Smell/17.jpg,left
Cond,stimuli/Healthy/4.jpg,right
Fix2,stimuli/Soft/18.jpg,right
Fix2,stimuli/Soft/12.jpg,right
Fix2,stimuli/Soft/5.jpg,right
Fix2,stimuli/Soft/52.jpg,right
Fix2,stimuli/Soft/57.jpg,right
Cond,stimuli/Healthy/66.jpg,left
Fix2,stimuli/Soft/31.jpg,right
Cond,stimuli/Healthy/49.jpg,left
Cond,stimuli/Healthy/0.jpg,right
Cond,stimuli/Healthy/55.jpg,left
Fix2,stimuli/Soft/16.jpg,right
Fix2,stimuli/Soft/15.jpg,right
Fix2,stimuli/Soft/22.jpg,right
