Block2Type,Block2Stim,Block2Corr
Fix1,stimuli/Small/9.jpg,left
Fix2,stimuli/School/49.jpg,right
Fix1,stimuli/Small/4.jpg,left
Cond,stimuli/Wealth/36.jpg,right
Fix1,stimuli/Small/41.jpg,left
Fix2,stimuli/School/29.jpg,right
Fix2,stimuli/School/42.jpg,right
Fix2,stimuli/School/43.jpg,right
Fix1,stimuli/Small/18.jpg,left
Fix2,stimuli/School/54.jpg,right
Fix1,stimuli/Small/35.jpg,left
Fix2,stimuli/School/53.jpg,right
Cond,stimuli/Wealth/37.jpg,left
Cond,stimuli/Wealth/27.jpg,right
Fix2,stimuli/School/19.jpg,right
Fix1,stimuli/Small/45.jpg,left
Cond,stimuli/Wealth/39.jpg,right
Cond,stimuli/Wealth/54.jpg,left
Fix1,stimuli/Small/52.jpg,left
Fix2,stimuli/School/6.jpg,right
Fix1,stimuli/Small/30.jpg,left
Fix1,stimuli/Small/46.jpg,left
Cond,stimuli/Wealth/12.jpg,right
Fix2,stimuli/School/1.jpg,right
Fix2,stimuli/School/36.jpg,right
Cond,stimuli/Wealth/10.jpg,left
Cond,stimuli/Wealth/33.jpg,right
Fix1,stimuli/Small/13.jpg,left
Fix1,stimuli/Small/8.jpg,left
Fix2,stimuli/School/27.jpg,right
Fix2,stimuli/School/21.jpg,right
Cond,stimuli/Wealth/47.jpg,left
Cond,stimuli/Wealth/19.jpg,right
Cond,stimuli/Wealth/51.jpg,left
Fix1,stimuli/Small/25.jpg,left
Cond,stimuli/Wealth/40.jpg,right
Cond,stimuli/Wealth/45.jpg,left
Cond,stimuli/Wealth/21.jpg,right
Fix1,stimuli/Small/49.jpg,left
Fix1,stimuli/Small/27.jpg,left
Cond,stimuli/Wealth/32.jpg,right
Fix1,stimuli/Small/40.jpg,left
Cond,stimuli/Wealth/34.jpg,right
Cond,stimuli/Wealth/17.jpg,left
Fix2,stimuli/School/28.jpg,right
Fix1,stimuli/Small/50.jpg,left
Fix1,stimuli/Small/15.jpg,left
Fix1,stimuli/Small/7.jpg,left
Fix1,stimuli/Small/33.jpg,left
Fix2,stimuli/School/55.jpg,right
Fix1,stimuli/Small/44.jpg,left
Fix1,stimuli/Small/51.jpg,left
Fix1,stimuli/Small/26.jpg,left
Fix1,stimuli/Small/36.jpg,left
Fix2,stimuli/School/33.jpg,right
Fix1,stimuli/Small/20.jpg,left
Fix2,stimuli/School/50.jpg,right
Cond,stimuli/Wealth/38.jpg,left
Fix2,stimuli/School/24.jpg,right
Cond,stimuli/Wealth/46.jpg,left
Cond,stimuli/Wealth/3.jpg,right
Fix2,stimuli/School/32.jpg,right
Fix2,stimuli/School/20.jpg,right
Fix2,stimuli/School/59.jpg,right
Fix2,stimuli/School/5.jpg,right
Fix1,stimuli/Small/6.jpg,left
Cond,stimuli/Wealth/5.jpg,right
Fix2,stimuli/School/0.jpg,right
Fix2,stimuli/School/22.jpg,right
Cond,stimuli/Wealth/4.jpg,left
Fix2,stimuli/School/11.jpg,right
Cond,stimuli/Wealth/49.jpg,left
Fix2,stimuli/School/14.jpg,right
Fix2,stimuli/School/30.jpg,right
Fix1,stimuli/Small/54.jpg,left
Cond,stimuli/Wealth/56.jpg,right
Cond,stimuli/Wealth/44.jpg,left
Cond,stimuli/Wealth/25.jpg,right
Fix2,stimuli/School/35.jpg,right
Fix2,stimuli/School/17.jpg,right
Fix1,stimuli/Small/19.jpg,left
Fix2,stimuli/School/46.jpg,right
Cond,stimuli/Wealth/26.jpg,left
Cond,stimuli/Wealth/8.jpg,right
Fix2,stimuli/School/52.jpg,right
Fix1,stimuli/Small/60.jpg,left
Fix2,stimuli/School/15.jpg,right
Fix2,stimuli/School/48.jpg,right
Fix1,stimuli/Small/17.jpg,left
Fix2,stimuli/School/47.jpg,right
Fix2,stimuli/School/23.jpg,right
Fix1,stimuli/Small/10.jpg,left
Cond,stimuli/Wealth/9.jpg,right
Fix2,stimuli/School/16.jpg,right
Fix1,stimuli/Small/31.JPG,left
Fix1,stimuli/Small/47.jpg,left
Cond,stimuli/Wealth/15.jpg,right
Cond,stimuli/Wealth/41.jpg,left
Fix1,stimuli/Small/14.jpg,left
Fix1,stimuli/Small/22.jpg,left
Cond,stimuli/Wealth/50.jpg,right
Cond,stimuli/Wealth/13.jpg,left
Fix1,stimuli/Small/29.jpg,left
Fix1,stimuli/Small/16.jpg,left
Fix1,stimuli/Small/48.jpg,left
Fix2,stimuli/School/9.jpg,right
Fix2,stimuli/School/10.jpg,right
Fix2,stimuli/School/8.jpg,right
Cond,stimuli/Wealth/20.jpg,left
Cond,stimuli/Wealth/2.jpg,right
Fix1,stimuli/Small/21.jpg,left
Fix1,stimuli/Small/38.jpg,left
Fix1,stimuli/Small/24.jpg,left
Cond,stimuli/Wealth/18.jpg,right
Fix1,stimuli/Small/32.jpg,left
Cond,stimuli/Wealth/57.jpg,right
Cond,stimuli/Wealth/30.jpg,left
Fix2,stimuli/School/45.jpg,right
Fix1,stimuli/Small/2.jpg,left
Cond,stimuli/Wealth/35.jpg,right
Fix2,stimuli/School/12.jpg,right
Fix2,stimuli/School/39.jpg,right
Fix1,stimuli/Small/53.jpg,left
Cond,stimuli/Wealth/16.jpg,right
Cond,stimuli/Wealth/55.jpg,left
Fix2,stimuli/School/2.jpg,right
Fix1,stimuli/Small/11.jpg,left
Fix2,stimuli/School/7.jpg,right
Cond,stimuli/Wealth/14.jpg,left
Fix1,stimuli/Small/43.jpg,left
Fix1,stimuli/Small/34.jpg,left
Fix1,stimuli/Small/23.jpg,left
Cond,stimuli/Wealth/1.jpg,right
Cond,stimuli/Wealth/53.jpg,left
Cond,stimuli/Wealth/7.jpg,right
Cond,stimuli/Wealth/48.jpg,left
Fix2,stimuli/School/44.jpg,right
Fix2,stimuli/School/58.jpg,right
Fix2,stimuli/School/18.jpg,right
Cond,stimuli/Wealth/31.jpg,left
Fix1,stimuli/Small/1.jpg,left
Cond,stimuli/Wealth/11.jpg,right
Fix2,stimuli/School/41.jpg,right
Cond,stimuli/Wealth/6.jpg,left
Fix2,stimuli/School/13.jpg,right
Fix1,stimuli/Small/58.jpg,left
Cond,stimuli/Wealth/42.jpg,right
Fix2,stimuli/School/37.jpg,right
Cond,stimuli/Wealth/0.jpg,left
Cond,stimuli/Wealth/52.jpg,right
