Subj,Block,Type,AUC
1,Block1,Fix1,0.9946
2,Block1,Fix1,0.5789
3,Block1,Fix1,0.5029
4,Block1,Fix1,0.6667
5,Block1,Fix1,0.6241
6,Block1,Fix1,0.4756
7,Block1,Fix1,0.6667
8,Block1,Fix1,0.5718
9,Block1,Fix1,0.6113
1,Block1,Fix2,1
2,Block1,Fix2,0.8089
3,Block1,Fix2,1
4,Block1,Fix2,0.6369
5,Block1,Fix2,1
6,Block1,Fix2,0.9848
7,Block1,Fix2,1
8,Block1,Fix2,0.7163
9,Block1,Fix2,0.9787
1,Block1,Cond,0.5833
2,Block1,Cond,0.5648
3,Block1,Cond,0.5087
4,Block1,Cond,0.5617
5,Block1,Cond,0.5974
6,Block1,Cond,0.5304
7,Block1,Cond,0.5593
8,Block1,Cond,0.6125
9,Block1,Cond,0.535
1,Block2,Fix1,1
2,Block2,Fix1,0.6247
3,Block2,Fix1,0.7174
4,Block2,Fix1,0.4282
5,Block2,Fix1,0.8227
6,Block2,Fix1,0.5327
7,Block2,Fix1,0.9592
8,Block2,Fix1,0.6742
9,Block2,Fix1,0.8306
1,Block2,Fix2,0.9375
2,Block2,Fix2,0.5312
3,Block2,Fix2,0.6141
4,Block2,Fix2,0.625
5,Block2,Fix2,0.9891
6,Block2,Fix2,0.64
7,Block2,Fix2,1
8,Block2,Fix2,0.7197
9,Block2,Fix2,0.7614
1,Block2,Cond,0.4933
2,Block2,Cond,0.6314
3,Block2,Cond,0.5452
4,Block2,Cond,0.5238
5,Block2,Cond,0.4042
6,Block2,Cond,0.4713
7,Block2,Cond,0.6399
8,Block2,Cond,0.6587
9,Block2,Cond,0.5399
1,Block3,Fix1,1
2,Block3,Fix1,0.75
3,Block3,Fix1,1
4,Block3,Fix1,0.8958
5,Block3,Fix1,0.7959
6,Block3,Fix1,0.8125
7,Block3,Fix1,0.9792
8,Block3,Fix1,0.6042
9,Block3,Fix1,0.7396
1,Block3,Fix2,0.7083
2,Block3,Fix2,0.5075
3,Block3,Fix2,0.5022
4,Block3,Fix2,0.5758
5,Block3,Fix2,1
6,Block3,Fix2,0.5225
7,Block3,Fix2,0.7197
8,Block3,Fix2,0.6413
9,Block3,Fix2,0.75
1,Block3,Cond,1
2,Block3,Cond,0.504
3,Block3,Cond,0.5017
4,Block3,Cond,0.5737
5,Block3,Cond,0.6716
6,Block3,Cond,0.5217
7,Block3,Cond,0.625
8,Block3,Cond,0.5361
9,Block3,Cond,0.5698
