Block3Type,Block3Stim,Block3Corr
Fix1,stimuli/Wealth/15.jpg,right
Fix1,stimuli/Wealth/13.jpg,right
Fix2,stimuli/School/6.jpg,left
Fix2,stimuli/School/21.jpg,left
Fix1,stimuli/Wealth/57.jpg,right
Cond,stimuli/Small/15.jpg,left
Cond,stimuli/Small/32.jpg,right
Fix2,stimuli/School/35.jpg,left
Fix2,stimuli/School/57.jpg,left
Fix1,stimuli/Wealth/32.jpg,right
Fix1,stimuli/Wealth/30.jpg,right
Fix1,stimuli/Wealth/55.jpg,right
Fix2,stimuli/School/7.jpg,left
Fix1,stimuli/Wealth/33.jpg,right
Fix2,stimuli/School/17.jpg,left
Fix1,stimuli/Wealth/46.jpg,right
Cond,stimuli/Small/11.jpg,left
Cond,stimuli/Small/4.jpg,right
Cond,stimuli/Small/21.jpg,left
Fix2,stimuli/School/0.jpg,left
Cond,stimuli/Small/35.jpg,right
Fix1,stimuli/Wealth/11.jpg,right
Fix2,stimuli/School/10.jpg,left
Fix2,stimuli/School/8.jpg,left
Cond,stimuli/Small/36.jpg,right
Cond,stimuli/Small/14.jpg,left
Fix1,stimuli/Wealth/23.jpg,right
Cond,stimuli/Small/46.jpg,left
Fix2,stimuli/School/29.jpg,left
Cond,stimuli/Small/17.jpg,right
Cond,stimuli/Small/37.jpg,left
Fix1,stimuli/Wealth/21.jpg,right
Fix2,stimuli/School/54.jpg,left
Cond,stimuli/Small/9.jpg,right
Fix2,stimuli/School/51.jpg,left
Fix1,stimuli/Wealth/52.jpg,right
Fix2,stimuli/School/38.jpg,left
Fix1,stimuli/Wealth/56.jpg,right
Cond,stimuli/Small/12.jpg,left
Cond,stimuli/Small/54.jpg,right
Fix1,stimuli/Wealth/27.jpg,right
Fix1,stimuli/Wealth/31.jpg,right
Fix2,stimuli/School/16.jpg,left
Cond,stimuli/Small/20.jpg,right
Cond,stimuli/Small/29.jpg,left
Fix2,stimuli/School/23.jpg,left
Fix1,stimuli/Wealth/16.jpg,right
Cond,stimuli/Small/16.jpg,left
Fix2,stimuli/School/24.jpg,left
Fix2,stimuli/School/53.jpg,left
Fix2,stimuli/School/45.jpg,left
Cond,stimuli/Small/44.jpg,right
Fix1,stimuli/Wealth/38.jpg,right
Cond,stimuli/Small/53.jpg,left
Cond,stimuli/Small/52.jpg,right
Fix1,stimuli/Wealth/22.jpg,right
Fix2,stimuli/School/48.jpg,left
Fix1,stimuli/Wealth/53.jpg,right
Cond,stimuli/Small/51.jpg,left
Fix1,stimuli/Wealth/5.jpg,right
Fix1,stimuli/Wealth/36.jpg,right
Fix1,stimuli/Wealth/42.jpg,right
Fix2,stimuli/School/3.jpg,left
Fix1,stimuli/Wealth/25.jpg,right
Cond,stimuli/Small/24.jpg,left
Fix2,stimuli/School/14.jpg,left
Fix1,stimuli/Wealth/3.jpg,right
Cond,stimuli/Small/22.jpg,left
Cond,stimuli/Small/1.jpg,right
Cond,stimuli/Small/28.jpg,left
Cond,stimuli/Small/7.jpg,right
Fix1,stimuli/Wealth/51.jpg,right
Fix2,stimuli/School/19.jpg,left
Cond,stimuli/Small/31.jpg,right
Fix1,stimuli/Wealth/6.jpg,right
Fix1,stimuli/Wealth/12.jpg,right
Cond,stimuli/Small/3.jpg,left
Fix2,stimuli/School/55.jpg,left
Fix1,stimuli/Wealth/41.jpg,right
Cond,stimuli/Small/25.jpg,left
Fix1,stimuli/Wealth/37.jpg,right
Fix2,stimuli/School/2.jpg,left
Fix2,stimuli/School/52.jpg,left
Fix2,stimuli/School/5.jpg,left
Fix1,stimuli/Wealth/19.jpg,right
Fix2,stimuli/School/34.jpg,left
Fix2,stimuli/School/37.jpg,left
Fix1,stimuli/Wealth/10.jpg,right
Cond,stimuli/Small/58.jpg,left
Cond,stimuli/Small/33.jpg,right
Fix2,stimuli/School/33.jpg,left
Fix1,stimuli/Wealth/0.jpg,right
Cond,stimuli/Small/48.jpg,left
Fix2,stimuli/School/49.jpg,left
Cond,stimuli/Small/49.jpg,right
Fix2,stimuli/School/26.jpg,left
Fix1,stimuli/Wealth/43.jpg,right
Cond,stimuli/Small/30.jpg,left
Cond,stimuli/Small/0.jpg,right
Fix1,stimuli/Wealth/35.jpg,right
Fix1,stimuli/Wealth/58.jpg,right
Fix2,stimuli/School/30.jpg,left
Fix1,stimuli/Wealth/39.jpg,right
Fix1,stimuli/Wealth/29.jpg,right
Fix2,stimuli/School/18.jpg,left
Fix2,stimuli/School/58.jpg,left
Fix1,stimuli/Wealth/28.jpg,right
Fix1,stimuli/Wealth/8.jpg,right
Fix1,stimuli/Wealth/4.jpg,right
Cond,stimuli/Small/41.jpg,left
Cond,stimuli/Small/50.jpg,right
Fix2,stimuli/School/46.jpg,left
Fix2,stimuli/School/36.jpg,left
Fix2,stimuli/School/13.jpg,left
Fix1,stimuli/Wealth/9.jpg,right
Cond,stimuli/Small/47.jpg,left
Fix1,stimuli/Wealth/50.jpg,right
Fix2,stimuli/School/56.jpg,left
Cond,stimuli/Small/18.jpg,right
Fix1,stimuli/Wealth/40.jpg,right
Cond,stimuli/Small/42.jpg,left
Fix2,stimuli/School/25.jpg,left
Cond,stimuli/Small/38.jpg,right
Fix1,stimuli/Wealth/45.jpg,right
Cond,stimuli/Small/55.jpg,left
Cond,stimuli/Small/39.jpg,right
Fix1,stimuli/Wealth/18.jpg,right
Cond,stimuli/Small/8.jpg,left
