Block2Type,Block2Stim,Block2Corr
Fix1,stimuli/Soft/54.jpg,left
Cond,stimuli/Wealth/55.jpg,right
Fix1,stimuli/Soft/11.jpg,left
Fix2,stimuli/School/16.jpg,right
Fix1,stimuli/Soft/25.jpg,left
Fix1,stimuli/Soft/1.jpg,left
Fix2,stimuli/School/4.jpg,right
Cond,stimuli/Wealth/43.jpg,left
Cond,stimuli/Wealth/29.jpg,right
Cond,stimuli/Wealth/9.jpg,left
Cond,stimuli/Wealth/36.jpg,right
Cond,stimuli/Wealth/56.jpg,left
Cond,stimuli/Wealth/20.jpg,right
Fix1,stimuli/Soft/15.jpg,left
Cond,stimuli/Wealth/52.jpg,right
Fix1,stimuli/Soft/38.jpg,left
Fix1,stimuli/Soft/4.jpg,left
Cond,stimuli/Wealth/21.jpg,right
Cond,stimuli/Wealth/33.jpg,left
Cond,stimuli/Wealth/54.jpg,right
Fix1,stimuli/Soft/21.jpg,left
Fix2,stimuli/School/40.jpg,right
Fix2,stimuli/School/43.jpg,right
Fix1,stimuli/Soft/45.jpg,left
Cond,stimuli/Wealth/51.jpg,right
Fix2,stimuli/School/8.jpg,right
Cond,stimuli/Wealth/19.jpg,left
Fix2,stimuli/School/54.jpg,right
Cond,stimuli/Wealth/40.jpg,left
Fix2,stimuli/School/37.jpg,right
Cond,stimuli/Wealth/27.jpg,left
Fix2,stimuli/School/15.jpg,right
Cond,stimuli/Wealth/3.jpg,left
Cond,stimuli/Wealth/22.jpg,right
Fix2,stimuli/School/1.jpg,right
Fix1,stimuli/Soft/3.jpg,left
Fix2,stimuli/School/53.jpg,right
Cond,stimuli/Wealth/26.jpg,left
Cond,stimuli/Wealth/2.jpg,right
Fix1,stimuli/Soft/50.jpg,left
Fix1,stimuli/Soft/39.jpg,left
Fix1,stimuli/Soft/55.jpg,left
Fix2,stimuli/School/44.jpg,right
Fix1,stimuli/Soft/49.jpg,left
Cond,stimuli/Wealth/58.jpg,right
Cond,stimuli/Wealth/32.jpg,left
Fix1,stimuli/Soft/8.jpg,left
Fix2,stimuli/School/47.jpg,right
Fix1,stimuli/Soft/10.jpg,left
Fix2,stimuli/School/5.jpg,right
Fix1,stimuli/Soft/43.jpg,left
Fix2,stimuli/School/17.jpg,right
Fix1,stimuli/Soft/13.jpg,left
Cond,stimuli/Wealth/6.jpg,right
Fix2,stimuli/School/12.jpg,right
Cond,stimuli/Wealth/18.jpg,left
Fix2,stimuli/School/30.jpg,right
Fix1,stimuli/Soft/12.jpg,left
Fix1,stimuli/Soft/52.jpg,left
