Block3Type,Block3Stim,Block3Corr
Fix2,stimuli/Smell/51.jpg,right
Fix1,stimuli/Sad/40.jpg,left
Fix1,stimuli/Sad/32.jpg,left
Fix1,stimuli/Sad/35.jpg,left
Fix2,stimuli/Smell/28.jpg,right
Fix1,stimuli/Sad/14.jpg,left
Fix2,stimuli/Smell/55.jpg,right
Fix2,stimuli/Smell/19.jpg,right
Cond,stimuli/Small/55.jpg,left
Cond,stimuli/Small/52.jpg,right
Cond,stimuli/Small/30.jpg,left
Fix1,stimuli/Sad/8.jpg,left
Cond,stimuli/Small/33.jpg,right
Fix1,stimuli/Sad/22.jpg,left
Fix2,stimuli/Smell/34.jpg,right
Cond,stimuli/Small/15.jpg,left
Cond,stimuli/Small/54.jpg,right
Cond,stimuli/Small/28.jpg,left
Fix2,stimuli/Smell/53.jpg,right
Cond,stimuli/Small/13.jpg,left
Cond,stimuli/Small/22.jpg,right
Cond,stimuli/Small/56.jpg,left
Fix2,stimuli/Smell/10.jpg,right
Fix1,stimuli/Sad/58.jpg,left
Fix1,stimuli/Sad/38.jpg,left
Fix2,stimuli/Smell/52.jpg,right
Cond,stimuli/Small/1.jpg,left
Fix2,stimuli/Smell/2.jpg,right
Cond,stimuli/Small/29.jpg,left
Fix1,stimuli/Sad/28.jpg,left
Cond,stimuli/Small/46.jpg,right
Cond,stimuli/Small/31.JPG,left
Cond,stimuli/Small/19.jpg,right
Fix1,stimuli/Sad/59.jpg,left
Cond,stimuli/Small/11.jpg,right
Fix1,stimuli/Sad/37.jpg,left
Fix1,stimuli/Sad/6.jpg,left
Fix2,stimuli/Smell/9.jpg,right
Fix1,stimuli/Sad/52.jpg,left
Fix2,stimuli/Smell/59.jpg,right
Fix2,stimuli/Smell/44.jpg,right
Fix1,stimuli/Sad/51.jpg,left
Cond,stimuli/Small/34.jpg,right
Fix2,stimuli/Smell/58.jpg,right
Cond,stimuli/Small/8.jpg,left
Fix1,stimuli/Sad/18.jpg,left
Cond,stimuli/Small/4.jpg,right
Fix1,stimuli/Sad/11.jpg,left
Fix1,stimuli/Sad/16.jpg,left
Cond,stimuli/Small/18.jpg,right
Cond,stimuli/Small/40.jpg,left
Fix2,stimuli/Smell/13.jpg,right
Fix2,stimuli/Smell/4.jpg,right
Cond,stimuli/Small/59.jpg,left
Fix1,stimuli/Sad/36.jpg,left
Fix1,stimuli/Sad/1.jpg,left
Fix2,stimuli/Smell/33.jpg,right
Cond,stimuli/Small/32.jpg,left
Fix1,stimuli/Sad/33.jpg,left
Fix1,stimuli/Sad/23.jpg,left
Fix2,stimuli/Smell/1.jpg,right
Cond,stimuli/Small/2.jpg,left
Cond,stimuli/Small/26.jpg,right
Fix1,stimuli/Sad/27.jpg,left
Fix1,stimuli/Sad/2.jpg,left
Cond,stimuli/Small/50.jpg,right
Fix1,stimuli/Sad/54.jpg,left
Cond,stimuli/Small/42.jpg,right
Fix2,stimuli/Smell/36.jpg,right
Cond,stimuli/Small/16.jpg,left
Fix2,stimuli/Smell/5.jpg,right
Cond,stimuli/Small/51.jpg,left
Fix1,stimuli/Sad/41.jpg,left
Cond,stimuli/Small/39.jpg,right
Fix1,stimuli/Sad/29.jpg,left
Fix2,stimuli/Smell/21.jpg,right
Cond,stimuli/Small/47.jpg,left
Fix1,stimuli/Sad/5.jpg,left
Fix1,stimuli/Sad/53.jpg,left
Fix2,stimuli/Smell/41.jpg,right
Cond,stimuli/Small/57.jpg,left
Fix2,stimuli/Smell/15.jpg,right
Fix2,stimuli/Smell/47.jpg,right
Fix2,stimuli/Smell/42.jpg,right
Cond,stimuli/Small/43.jpg,left
Cond,stimuli/Small/12.jpg,right
Fix1,stimuli/Sad/55.jpg,left
Fix1,stimuli/Sad/50.jpg,left
Fix2,stimuli/Smell/12.jpg,right
Cond,stimuli/Small/23.jpg,left
Cond,stimuli/Small/36.jpg,right
Cond,stimuli/Small/37.jpg,left
Fix2,stimuli/Smell/46.jpg,right
Fix1,stimuli/Sad/44.jpg,left
Cond,stimuli/Small/25.jpg,right
Fix1,stimuli/Sad/46.jpg,left
Fix2,stimuli/Smell/35.jpg,right
Cond,stimuli/Small/53.jpg,left
Fix1,stimuli/Sad/3.jpg,left
Fix2,stimuli/Smell/8.jpg,right
Fix1,stimuli/Sad/24.jpg,left
Fix1,stimuli/Sad/45.jpg,left
Fix1,stimuli/Sad/39.jpg,left
Cond,stimuli/Small/60.jpg,right
Cond,stimuli/Small/21.jpg,left
Cond,stimuli/Small/6.jpg,right
Fix1,stimuli/Sad/10.jpg,left
Fix2,stimuli/Smell/37.jpg,right
Cond,stimuli/Small/45.jpg,left
Fix2,stimuli/Smell/50.jpg,right
Cond,stimuli/Small/17.jpg,left
Fix1,stimuli/Sad/25.jpg,left
Cond,stimuli/Small/7.jpg,right
Cond,stimuli/Small/58.jpg,left
Fix1,stimuli/Sad/15.jpg,left
Cond,stimuli/Small/20.jpg,right
Fix2,stimuli/Smell/49.jpg,right
Fix1,stimuli/Sad/9.jpg,left
Cond,stimuli/Small/10.jpg,right
Fix2,stimuli/Smell/39.jpg,right
Fix1,stimuli/Sad/43.jpg,left
Fix1,stimuli/Sad/49.jpg,left
Fix2,stimuli/Smell/56.jpg,right
Fix1,stimuli/Sad/42.jpg,left
Fix2,stimuli/Smell/23.jpg,right
Fix1,stimuli/Sad/31.jpg,left
Fix2,stimuli/Smell/6.jpg,right
Fix2,stimuli/Smell/25.jpg,right
Fix2,stimuli/Smell/18.jpg,right
Fix2,stimuli/Smell/27.jpg,right
Cond,stimuli/Small/3.jpg,left
Fix1,stimuli/Sad/26.jpg,left
Cond,stimuli/Small/14.jpg,right
Fix2,stimuli/Smell/22.jpg,right
Fix2,stimuli/Smell/24.jpg,right
Fix1,stimuli/Sad/17.jpg,left
Fix2,stimuli/Smell/30.jpg,right
Fix2,stimuli/Smell/40.jpg,right
Fix2,stimuli/Smell/14.jpg,right
Cond,stimuli/Small/27.jpg,left
Fix1,stimuli/Sad/4.jpg,left
Fix2,stimuli/Smell/29.jpg,right
Cond,stimuli/Small/38.jpg,left
Fix2,stimuli/Smell/7.jpg,right
Fix2,stimuli/Smell/31.jpg,right
Fix1,stimuli/Sad/30.jpg,left
Fix2,stimuli/Smell/26.jpg,right
Fix1,stimuli/Sad/57.jpg,left
Cond,stimuli/Small/48.jpg,right
Cond,stimuli/Small/49.jpg,left
Fix1,stimuli/Sad/12.jpg,left
Fix1,stimuli/Sad/20.jpg,left
Cond,stimuli/Small/0.jpg,right
Fix2,stimuli/Smell/11.jpg,right
Cond,stimuli/Small/41.jpg,left
Fix1,stimuli/Sad/47.jpg,left
Fix2,stimuli/Smell/45.jpg,right
Fix1,stimuli/Sad/21.jpg,left
Cond,stimuli/Small/9.jpg,right
Fix2,stimuli/Smell/0.jpg,right
Fix2,stimuli/Smell/57.jpg,right
Fix1,stimuli/Sad/19.jpg,left
Cond,stimuli/Small/44.jpg,right
Cond,stimuli/Small/5.jpg,left
Fix1,stimuli/Sad/13.jpg,left
Fix2,stimuli/Smell/3.jpg,right
Fix1,stimuli/Sad/34.jpg,left
Fix1,stimuli/Sad/0.jpg,left
Fix1,stimuli/Sad/48.jpg,left
Fix2,stimuli/Smell/16.jpg,right
Cond,stimuli/Small/35.jpg,left
Fix1,stimuli/Sad/56.jpg,left
Fix2,stimuli/Smell/20.jpg,right
Fix2,stimuli/Smell/32.jpg,right
Fix2,stimuli/Smell/54.jpg,right
Fix2,stimuli/Smell/38.jpg,right
Fix2,stimuli/Smell/17.jpg,right
Fix2,stimuli/Smell/43.jpg,right
Fix1,stimuli/Sad/7.jpg,left
Fix2,stimuli/Smell/48.jpg,right
