Text,Block1Type,Block1Stim,Block1Corr,Block2Type,Block2Stim,Block2Corr,Block3Type,Block3Stim,Block3Corr,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Block1_loop.thisRepN,Block1_loop.thisTrialN,Block1_loop.thisN,Block1_loop.thisIndex,Block2_loop.thisRepN,Block2_loop.thisTrialN,Block2_loop.thisN,Block2_loop.thisIndex,Block3_loop.thisRepN,Block3_loop.thisTrialN,Block3_loop.thisN,Block3_loop.thisIndex,welcome_text1.started,welcome_text1.stopped,welcome_text2.started,welcome_text2.stopped,welcome_text3.started,welcome_text3.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,instruct_text1.started,instruct_text1.stopped,instruct_text2.started,instruct_text2.stopped,instruct_resp1.keys,instruct_resp1.rt,instruct_resp1.started,instruct_resp1.stopped,start_text1.started,start_text1.stopped,start_text2.started,start_text2.stopped,start_resp1.keys,start_resp1.rt,start_resp1.started,start_resp1.stopped,image1.started,image1.stopped,text1.started,text1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,trialCorrect,feedback_text1.started,feedback_text1.stopped,break_text1.started,break_text1.stopped,break_resp1.keys,break_resp1.rt,break_resp1.started,break_resp1.stopped,intructRemind_text1.started,intructRemind_text1.stopped,instructRemind_text2.started,instructRemind_text2.stopped,instructRemind_resp1.keys,instructRemind_resp1.rt,instructRemind_resp1.started,instructRemind_resp1.stopped,start_text3.started,start_text3.stopped,start_text4.started,start_text4.stopped,start_resp2.keys,start_resp2.rt,start_resp2.started,start_resp2.stopped,image2.started,image2.stopped,text2.started,text2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,feedback_text2.started,feedback_text2.stopped,break_text2.started,break_text2.stopped,break_resp2.keys,break_resp2.rt,break_resp2.started,break_resp2.stopped,start_text5.started,start_text5.stopped,start_text6.started,start_text6.stopped,start_resp3.keys,start_resp3.rt,start_resp3.started,start_resp3.stopped,image3.started,image3.stopped,text3.started,text3.stopped,key_resp3.keys,key_resp3.corr,key_resp3.rt,key_resp3.started,key_resp3.stopped,feedback_text3.started,feedback_text3.stopped,end_text1.started,end_text1.stopped,end_text2.started,end_text2.stopped,end_resp.keys,end_resp.rt,end_resp.started,end_resp.stopped,participant,sex,age,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,55.82080922697787,None,55.82080922697787,None,55.82080922697787,None,return,1.8278763680136763,55.82080922697787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Female,20,001,2021_Mar_09_2210,cal_abstract,2020.2.4,60.192742577976475,
"You will be presented with a series of images. It is your job to learn, through trial and error, whether the “Left” or “Right” arrow key should be pressed for each image.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,57.720198099996196,None,57.720198099996196,None,return,0.7785123329958878,57.720198099996196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Female,20,001,2021_Mar_09_2210,cal_abstract,2020.2.4,60.192742577976475,
"For some images you should always press “Left”, and for others you should always press “Right” arrow key.",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,58.537426077004056,None,58.537426077004056,None,return,0.592345679004211,58.537426077004056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Female,20,001,2021_Mar_09_2210,cal_abstract,2020.2.4,60.192742577976475,
Some images are special: the correct response is the opposite of the preceding correct response.,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,59.17105982199428,None,59.17105982199428,None,return,3.9841779810085427,59.17105982199428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Female,20,001,2021_Mar_09_2210,cal_abstract,2020.2.4,60.192742577976475,
"That is, if the previous correct answer was “Left” then the correct response would now be “Right”.",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,63.20357478398364,None,63.20357478398364,None,return,2.774542041006498,63.20357478398364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Female,20,001,2021_Mar_09_2210,cal_abstract,2020.2.4,60.192742577976475,
"After each response, you will be told whether you got the item correct or incorrect.",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,66.02059383399319,None,66.02059383399319,None,return,1.8139144399901852,66.02059383399319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Female,20,001,2021_Mar_09_2210,cal_abstract,2020.2.4,60.192742577976475,
"You can take as long as you like on each image, but the task will not continue until you press the “Left” or “Right” arrow key.",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,67.87088177597616,None,67.87088177597616,None,return,0.8925496350275353,67.87088177597616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Female,20,001,2021_Mar_09_2210,cal_abstract,2020.2.4,60.192742577976475,
"The experiment will have three blocks, each block will take approximately 10 minutes to complete.",,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,68.8043630750035,None,68.8043630750035,None,return,0.7303184990014415,68.8043630750035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Female,20,001,2021_Mar_09_2210,cal_abstract,2020.2.4,60.192742577976475,
None,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,69.57137193597737,None,69.57137193597737,None,return,1.2030263320193626,69.57137193597737,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Female,20,001,2021_Mar_09_2210,cal_abstract,2020.2.4,60.192742577976475,
None,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,70.82077726398711,None,70.82077726398711,None,return,0.6997196970041841,70.82077726398711,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Female,20,001,2021_Mar_09_2210,cal_abstract,2020.2.4,60.192742577976475,
