Block3Type,Block3Stim,Block3Corr
Fix1,stimuli/Smell/22.jpg,left
Cond,stimuli/Dangerous/3.jpg,right
Fix2,stimuli/Small/37.jpg,right
Fix1,stimuli/Smell/50.jpg,left
Fix2,stimuli/Small/33.jpg,right
Fix2,stimuli/Small/60.jpg,right
Cond,stimuli/Dangerous/51.jpg,left
Fix1,stimuli/Smell/34.jpg,left
Fix1,stimuli/Smell/51.jpg,left
Fix1,stimuli/Smell/4.jpg,left
Cond,stimuli/Dangerous/48.jpg,right
Cond,stimuli/Dangerous/6.jpg,left
Cond,stimuli/Dangerous/54.jpg,right
Cond,stimuli/Dangerous/27.jpg,left
Fix1,stimuli/Smell/45.jpg,left
Fix2,stimuli/Small/1.jpg,right
Fix2,stimuli/Small/44.jpg,right
Fix1,stimuli/Smell/59.jpg,left
Fix1,stimuli/Smell/36.jpg,left
Fix2,stimuli/Small/50.jpg,right
Fix1,stimuli/Smell/11.jpg,left
Fix1,stimuli/Smell/30.jpg,left
Fix2,stimuli/Small/51.jpg,right
Fix1,stimuli/Smell/42.jpg,left
Cond,stimuli/Dangerous/37.jpg,right
Fix2,stimuli/Small/19.jpg,right
Fix1,stimuli/Smell/14.jpg,left
Fix2,stimuli/Small/54.jpg,right
Fix1,stimuli/Smell/44.jpg,left
Fix2,stimuli/Small/46.jpg,right
Fix2,stimuli/Small/25.jpg,right
Cond,stimuli/Dangerous/10.jpg,left
Fix2,stimuli/Small/43.jpg,right
Fix1,stimuli/Smell/47.jpg,left
Fix1,stimuli/Smell/17.jpg,left
Fix1,stimuli/Smell/28.jpg,left
Fix2,stimuli/Small/22.jpg,right
Cond,stimuli/Dangerous/14.jpg,left
Fix2,stimuli/Small/27.jpg,right
Fix2,stimuli/Small/42.jpg,right
Cond,stimuli/Dangerous/18.jpg,left
Cond,stimuli/Dangerous/8.jpg,right
Fix1,stimuli/Smell/54.jpg,left
Fix2,stimuli/Small/24.jpg,right
Cond,stimuli/Dangerous/31.jpg,left
Cond,stimuli/Dangerous/38.jpg,right
Fix1,stimuli/Smell/23.jpg,left
