Block2Type,Block2Stim,Block2Corr
Fix2,stimuli/Old/0.jpg,left
Fix1,stimuli/Wealth/1.jpg,right
Cond,stimuli/Soft/44.jpg,left
Cond,stimuli/Soft/47.jpg,right
Cond,stimuli/Soft/20.JPG,left
Cond,stimuli/Soft/1.jpg,right
Fix1,stimuli/Wealth/25.jpg,right
Fix1,stimuli/Wealth/28.jpg,right
Fix2,stimuli/Old/4.jpg,left
Fix1,stimuli/Wealth/27.jpg,right
Cond,stimuli/Soft/29.jpg,left
Cond,stimuli/Soft/12.jpg,right
Cond,stimuli/Soft/24.jpg,left
Fix1,stimuli/Wealth/26.jpg,right
Cond,stimuli/Soft/22.jpg,left
Fix1,stimuli/Wealth/12.jpg,right
Fix1,stimuli/Wealth/56.jpg,right
Fix2,stimuli/Old/15.jpg,left
Fix1,stimuli/Wealth/57.jpg,right
Fix1,stimuli/Wealth/44.jpg,right
Cond,stimuli/Soft/17.jpg,left
Fix2,stimuli/Old/16.jpg,left
Fix2,stimuli/Old/5.jpg,left
Cond,stimuli/Soft/43.jpg,right
Fix2,stimuli/Old/52.jpg,left
Fix1,stimuli/Wealth/32.jpg,right
Fix2,stimuli/Old/54.jpg,left
Cond,stimuli/Soft/34.jpg,right
Fix2,stimuli/Old/10.jpg,left
Fix2,stimuli/Old/21.jpg,left
Fix1,stimuli/Wealth/5.jpg,right
Fix1,stimuli/Wealth/7.jpg,right
Fix1,stimuli/Wealth/8.jpg,right
Cond,stimuli/Soft/25.jpg,left
Cond,stimuli/Soft/9.jpg,right
Fix1,stimuli/Wealth/49.jpg,right
Cond,stimuli/Soft/28.jpg,left
Fix2,stimuli/Old/43.jpg,left
Cond,stimuli/Soft/35.jpg,right
Fix1,stimuli/Wealth/46.jpg,right
Cond,stimuli/Soft/3.jpg,left
Fix1,stimuli/Wealth/58.jpg,right
Fix2,stimuli/Old/51.jpg,left
Fix1,stimuli/Wealth/21.jpg,right
Cond,stimuli/Soft/54.jpg,left
Fix2,stimuli/Old/49.jpg,left
Fix1,stimuli/Wealth/43.jpg,right
Fix2,stimuli/Old/2.jpg,left
Fix2,stimuli/Old/38.jpg,left
Cond,stimuli/Soft/41.jpg,right
Fix1,stimuli/Wealth/38.jpg,right
Fix2,stimuli/Old/32.jpg,left
Cond,stimuli/Soft/55.jpg,right
Cond,stimuli/Soft/37.jpg,left
