Text,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,welcome_text1.started,welcome_text1.stopped,welcome_text2.started,welcome_text2.stopped,welcome_text3.started,welcome_text3.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,instruct_text1.started,instruct_text1.stopped,instruct_text2.started,instruct_text2.stopped,instruct_resp1.keys,instruct_resp1.rt,instruct_resp1.started,instruct_resp1.stopped,start_text1.started,start_text1.stopped,start_text2.started,start_text2.stopped,start_resp1.keys,start_resp1.rt,start_resp1.started,start_resp1.stopped,participant,sex,age,session,date,expName,psychopyVersion,frameRate,
,,,,,20.614538100082427,None,20.614538100082427,None,20.614538100082427,None,return,3.333221800159663,20.614538100082427,None,,,,,,,,,,,,,,,,,40,Female,23,001,2021_Mar_08_1901,cal_abstract,2020.2.4,59.966274989386655,
"You will be presented with a series of images. It is your job to learn, through trial and error, whether the “Left” or “Right” arrow key should be pressed for each image.",0,0,0,0,,,,,,,,,,,24.025977799668908,None,24.025977799668908,None,return,1.9471935997717083,24.025977799668908,None,,,,,,,,,40,Female,23,001,2021_Mar_08_1901,cal_abstract,2020.2.4,59.966274989386655,
"For some images you should always press “Left”, and for others you should always press “Right” arrow key.",0,1,1,1,,,,,,,,,,,26.00760479969904,None,26.00760479969904,None,return,1.1282026995904744,26.00760479969904,None,,,,,,,,,40,Female,23,001,2021_Mar_08_1901,cal_abstract,2020.2.4,59.966274989386655,
Some images are special: the correct response is the opposite of the preceding correct response.,0,2,2,2,,,,,,,,,,,27.1558666001074,None,27.1558666001074,None,return,1.1344570997171104,27.1558666001074,None,,,,,,,,,40,Female,23,001,2021_Mar_08_1901,cal_abstract,2020.2.4,59.966274989386655,
"That is, if the previous correct answer was “Left” then the correct response would now be “Right”.",0,3,3,3,,,,,,,,,,,28.3274584999308,None,28.3274584999308,None,return,1.0589089998975396,28.3274584999308,None,,,,,,,,,40,Female,23,001,2021_Mar_08_1901,cal_abstract,2020.2.4,59.966274989386655,
"After each response, you will be told whether you got the item correct or incorrect.",0,4,4,4,,,,,,,,,,,29.40746930008754,None,29.40746930008754,None,return,1.525216500274837,29.40746930008754,None,,,,,,,,,40,Female,23,001,2021_Mar_08_1901,cal_abstract,2020.2.4,59.966274989386655,
"You can take as long as you like on each image, but the task will not continue until you press the “Left” or “Right” arrow key.",0,5,5,5,,,,,,,,,,,30.95559349982068,None,30.95559349982068,None,return,1.1133362003602087,30.95559349982068,None,,,,,,,,,40,Female,23,001,2021_Mar_08_1901,cal_abstract,2020.2.4,59.966274989386655,
"The experiment will have three blocks, each block will take approximately 10 minutes to complete.",0,6,6,6,,,,,,,,,,,32.10799770010635,None,32.10799770010635,None,return,1.181515899952501,32.10799770010635,None,,,,,,,,,40,Female,23,001,2021_Mar_08_1901,cal_abstract,2020.2.4,59.966274989386655,
,,,,,,,,,,,,,,,,,,,,,,,33.31504740007222,None,33.31504740007222,None,s,3.015352000016719,33.31504740007222,None,40,Female,23,001,2021_Mar_08_1901,cal_abstract,2020.2.4,59.966274989386655,
