Text,Block1Type,Block1Stim,Block1Corr,Block2Type,Block2Stim,Block2Corr,Block3Type,Block3Stim,Block3Corr,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Block1_loop.thisRepN,Block1_loop.thisTrialN,Block1_loop.thisN,Block1_loop.thisIndex,Block2_loop.thisRepN,Block2_loop.thisTrialN,Block2_loop.thisN,Block2_loop.thisIndex,Block3_loop.thisRepN,Block3_loop.thisTrialN,Block3_loop.thisN,Block3_loop.thisIndex,welcome_text1.started,welcome_text1.stopped,welcome_text2.started,welcome_text2.stopped,welcome_text3.started,welcome_text3.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,instruct_text1.started,instruct_text1.stopped,instruct_text2.started,instruct_text2.stopped,instruct_resp1.keys,instruct_resp1.rt,instruct_resp1.started,instruct_resp1.stopped,start_text1.started,start_text1.stopped,start_text2.started,start_text2.stopped,start_resp1.keys,start_resp1.rt,start_resp1.started,start_resp1.stopped,image1.started,image1.stopped,text1.started,text1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,trialCorrect,feedback_text1.started,feedback_text1.stopped,break_text1.started,break_text1.stopped,break_resp1.keys,break_resp1.rt,break_resp1.started,break_resp1.stopped,intructRemind_text1.started,intructRemind_text1.stopped,instructRemind_text2.started,instructRemind_text2.stopped,instructRemind_resp1.keys,instructRemind_resp1.rt,instructRemind_resp1.started,instructRemind_resp1.stopped,start_text3.started,start_text3.stopped,start_text4.started,start_text4.stopped,start_resp2.keys,start_resp2.rt,start_resp2.started,start_resp2.stopped,image2.started,image2.stopped,text2.started,text2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,feedback_text2.started,feedback_text2.stopped,break_text2.started,break_text2.stopped,break_resp2.keys,break_resp2.rt,break_resp2.started,break_resp2.stopped,start_text5.started,start_text5.stopped,start_text6.started,start_text6.stopped,start_resp3.keys,start_resp3.rt,start_resp3.started,start_resp3.stopped,image3.started,image3.stopped,text3.started,text3.stopped,key_resp3.keys,key_resp3.corr,key_resp3.rt,key_resp3.started,key_resp3.stopped,feedback_text3.started,feedback_text3.stopped,end_text1.started,end_text1.stopped,end_text2.started,end_text2.stopped,end_resp.keys,end_resp.rt,end_resp.started,end_resp.stopped,participant,sex,age,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,15.499096298997756,None,15.499096298997756,None,15.499096298997756,None,return,804.999359202,15.499096298997756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
"You will be presented with a series of images. It is your job to learn, through trial and error, whether the “Left” or “Right” arrow key should be pressed for each image.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,820.5537722410008,None,820.5537722410008,None,return,4.6774110439982906,820.5537722410008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
"For some images you should always press “Left”, and for others you should always press “Right” arrow key.",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,825.2538377909987,None,825.2538377909987,None,return,2.0570200660004048,825.2538377909987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
Some images are special: the correct response is the opposite of the preceding correct response.,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,827.354862971999,None,827.354862971999,None,return,15.71270847300184,827.354862971999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
"That is, if the previous correct answer was “Left” then the correct response would now be “Right”.",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,843.1061519569994,None,843.1061519569994,None,return,2.5928505999982008,843.1061519569994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
"After each response, you will be told whether you got the item correct or incorrect.",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,845.7395557439995,None,845.7395557439995,None,return,1.6953733650007052,845.7395557439995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
"You can take as long as you like on each image, but the task will not continue until you press the “Left” or “Right” arrow key.",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,847.4727757740002,None,847.4727757740002,None,return,1.912005695001426,847.4727757740002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
"The experiment will have three blocks, each block will take approximately 10 minutes to complete.",,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,849.4230464040011,None,849.4230464040011,None,return,2.405508457999531,849.4230464040011,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851.8565442889994,None,851.8565442889994,None,s,3.3071426499991503,851.8565442889994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
,Fix1,stimuli/Healthy/33.jpg,right,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855.2400751889982,None,855.2400751889982,None,left,0,2.09315277800124,855.2400751889982,None,0,857.3566071120003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
,Fix1,stimuli/Healthy/6.jpg,right,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.1235820420006,None,858.1235820420006,None,right,1,0.7326446100014437,858.1235820420006,None,1,858.8903534319979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
,Fix2,stimuli/Old/8.jpg,left,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.657234508999,None,859.657234508999,None,left,1,1.535813673002849,859.657234508999,None,1,861.2237684139982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
,Fix1,stimuli/Healthy/3.jpg,right,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861.9905395669994,None,861.9905395669994,None,right,1,1.4892719029994623,861.9905395669994,None,1,863.5073054140012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
,Fix2,stimuli/Old/27.jpg,left,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.2740869869995,None,864.2740869869995,None,left,1,2.6816627500011236,864.2740869869995,None,1,866.974142897001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
,Cond,stimuli/Wealth/56.jpg,right,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,867.7411259740002,None,867.7411259740002,None,right,1,2.080379912000353,867.7411259740002,None,1,869.8409956119976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
,Fix2,stimuli/Old/45.jpg,left,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.6092362679992,None,870.6092362679992,None,left,1,2.822204165000585,870.6092362679992,None,1,873.457941179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
,Fix2,stimuli/Old/52.jpg,left,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.2247674869977,None,874.2247674869977,None,right,0,2.172177073000057,874.2247674869977,None,0,876.4245618319983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
,Fix1,stimuli/Healthy/37.jpg,right,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.1914450839977,None,877.1914450839977,None,right,1,0.9753474470016954,877.1914450839977,None,1,878.1914885990009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Male,21,001,2021_Mar_09_2131,cal_abstract,2020.2.4,60.132766896104805,
