Block2Type,Block2Stim,Block2Corr
Fix1,stimuli/School/5.jpg,left
Fix1,stimuli/School/57.jpg,left
Fix2,stimuli/Old/8.jpg,right
Cond,stimuli/Smell/49.jpg,left
Fix2,stimuli/Old/21.jpg,right
Cond,stimuli/Smell/25.jpg,left
Cond,stimuli/Smell/41.jpg,right
Cond,stimuli/Smell/16.jpg,left
Fix1,stimuli/School/40.jpg,left
Fix2,stimuli/Old/26.jpg,right
Cond,stimuli/Smell/4.jpg,left
Fix2,stimuli/Old/12.jpg,right
Cond,stimuli/Smell/52.jpg,left
Fix2,stimuli/Old/43.jpg,right
Fix2,stimuli/Old/24.jpg,right
Fix2,stimuli/Old/49.jpg,right
Fix2,stimuli/Old/4.jpg,right
Fix1,stimuli/School/28.jpg,left
Fix1,stimuli/School/0.jpg,left
Cond,stimuli/Smell/6.jpg,right
Fix2,stimuli/Old/38.jpg,right
Fix1,stimuli/School/56.jpg,left
Fix1,stimuli/School/46.jpg,left
Cond,stimuli/Smell/35.jpg,right
Cond,stimuli/Smell/23.jpg,left
Fix1,stimuli/School/17.jpg,left
Fix2,stimuli/Old/9.jpg,right
Fix1,stimuli/School/2.jpg,left
Fix1,stimuli/School/55.jpg,left
Fix1,stimuli/School/23.jpg,left
Fix1,stimuli/School/9.jpg,left
Cond,stimuli/Smell/46.jpg,right
Fix2,stimuli/Old/10.jpg,right
Fix1,stimuli/School/50.jpg,left
Fix2,stimuli/Old/18.jpg,right
Cond,stimuli/Smell/58.jpg,left
Cond,stimuli/Smell/31.jpg,right
Fix1,stimuli/School/13.jpg,left
Fix2,stimuli/Old/40.jpg,right
Cond,stimuli/Smell/36.jpg,left
Fix1,stimuli/School/47.jpg,left
Cond,stimuli/Smell/0.jpg,right
Fix1,stimuli/School/15.jpg,left
Fix1,stimuli/School/52.jpg,left
Fix1,stimuli/School/54.jpg,left
Fix1,stimuli/School/32.jpg,left
Cond,stimuli/Smell/24.jpg,right
Fix2,stimuli/Old/58.jpg,right
Cond,stimuli/Smell/53.jpg,left
Fix1,stimuli/School/58.jpg,left
Cond,stimuli/Smell/32.jpg,right
Fix2,stimuli/Old/31.jpg,right
Fix1,stimuli/School/43.jpg,left
Fix2,stimuli/Old/0.jpg,right
Cond,stimuli/Smell/8.jpg,left
Fix1,stimuli/School/24.jpg,left
Fix2,stimuli/Old/2.jpg,right
Fix2,stimuli/Old/54.jpg,right
Cond,stimuli/Smell/1.jpg,left
Fix2,stimuli/Old/6.jpg,right
Cond,stimuli/Smell/19.jpg,left
Fix2,stimuli/Old/50.jpg,right
Cond,stimuli/Smell/40.jpg,left
Cond,stimuli/Smell/15.jpg,right
Cond,stimuli/Smell/3.jpg,left
Fix1,stimuli/School/35.jpg,left
Cond,stimuli/Smell/20.jpg,right
Cond,stimuli/Smell/34.jpg,left
Fix1,stimuli/School/44.jpg,left
Fix2,stimuli/Old/16.jpg,right
Cond,stimuli/Smell/30.jpg,left
Fix1,stimuli/School/22.jpg,left
Fix1,stimuli/School/48.jpg,left
Fix2,stimuli/Old/44.jpg,right
Fix2,stimuli/Old/1.jpg,right
Fix2,stimuli/Old/29.jpg,right
