Block3Type,Block3Stim,Block3Corr
Fix1,stimuli/Old/27.jpg,left
Fix1,stimuli/Old/43.jpg,left
Cond,stimuli/Sad/23.jpg,right
Fix1,stimuli/Old/45.jpg,left
Fix1,stimuli/Old/38.jpg,left
Cond,stimuli/Sad/22.jpg,right
Fix2,stimuli/Small/16.jpg,right
Fix2,stimuli/Small/35.jpg,right
Fix1,stimuli/Old/3.jpg,left
Fix2,stimuli/Small/48.jpg,right
Fix2,stimuli/Small/30.jpg,right
Fix1,stimuli/Old/14.jpg,left
Cond,stimuli/Sad/27.jpg,right
Cond,stimuli/Sad/59.jpg,left
Fix2,stimuli/Small/0.jpg,right
Cond,stimuli/Sad/28.jpg,left
Fix2,stimuli/Small/39.jpg,right
Cond,stimuli/Sad/56.jpg,left
Cond,stimuli/Sad/38.jpg,right
Cond,stimuli/Sad/52.jpg,left
Fix2,stimuli/Small/37.jpg,right
Cond,stimuli/Sad/4.jpg,left
Fix2,stimuli/Small/11.jpg,right
Fix1,stimuli/Old/18.jpg,left
Cond,stimuli/Sad/17.jpg,right
Cond,stimuli/Sad/20.jpg,left
Cond,stimuli/Sad/29.jpg,right
Fix2,stimuli/Small/33.jpg,right
Fix2,stimuli/Small/28.jpg,right
Fix1,stimuli/Old/34.jpg,left
Fix2,stimuli/Small/17.jpg,right
Fix1,stimuli/Old/40.jpg,left
Fix2,stimuli/Small/13.jpg,right
Fix2,stimuli/Small/5.jpg,right
Cond,stimuli/Sad/31.jpg,left
Fix2,stimuli/Small/49.jpg,right
Cond,stimuli/Sad/43.jpg,left
Fix1,stimuli/Old/39.jpg,left
Fix2,stimuli/Small/41.jpg,right
Cond,stimuli/Sad/57.jpg,left
Fix1,stimuli/Old/8.jpg,left
Cond,stimuli/Sad/39.jpg,right
Fix1,stimuli/Old/2.jpg,left
Fix1,stimuli/Old/0.jpg,left
Fix1,stimuli/Old/12.jpg,left
Fix2,stimuli/Small/26.jpg,right
Fix2,stimuli/Small/54.jpg,right
Fix2,stimuli/Small/3.jpg,right
Fix2,stimuli/Small/47.jpg,right
Fix1,stimuli/Old/10.jpg,left
Cond,stimuli/Sad/21.jpg,right
Fix2,stimuli/Small/42.jpg,right
Fix1,stimuli/Old/19.jpg,left
Fix1,stimuli/Old/22.jpg,left
Fix1,stimuli/Old/59.jpg,left
Fix1,stimuli/Old/32.jpg,left
Cond,stimuli/Sad/5.jpg,right
Fix2,stimuli/Small/23.jpg,right
Fix1,stimuli/Old/5.jpg,left
Fix1,stimuli/Old/11.jpg,left
Fix2,stimuli/Small/38.jpg,right
Cond,stimuli/Sad/33.jpg,left
Fix1,stimuli/Old/9.jpg,left
Cond,stimuli/Sad/1.jpg,right
Fix1,stimuli/Old/58.jpg,left
Cond,stimuli/Sad/55.jpg,right
Fix2,stimuli/Small/18.jpg,right
Cond,stimuli/Sad/58.jpg,left
Cond,stimuli/Sad/50.jpg,right
Fix2,stimuli/Small/25.jpg,right
Fix1,stimuli/Old/30.jpg,left
Fix1,stimuli/Old/1.jpg,left
Cond,stimuli/Sad/11.jpg,right
Fix2,stimuli/Small/55.jpg,right
Cond,stimuli/Sad/30.jpg,left
Fix1,stimuli/Old/52.jpg,left
Cond,stimuli/Sad/54.jpg,right
Fix1,stimuli/Old/26.jpg,left
Cond,stimuli/Sad/19.jpg,right
Cond,stimuli/Sad/0.jpg,left
Fix1,stimuli/Old/37.jpg,left
Cond,stimuli/Sad/3.jpg,right
Cond,stimuli/Sad/34.jpg,left
Fix2,stimuli/Small/21.jpg,right
Cond,stimuli/Sad/24.jpg,left
Cond,stimuli/Sad/25.jpg,right
Cond,stimuli/Sad/46.jpg,left
Fix2,stimuli/Small/60.jpg,right
Cond,stimuli/Sad/45.jpg,left
Fix2,stimuli/Small/58.jpg,right
Cond,stimuli/Sad/47.jpg,left
Cond,stimuli/Sad/2.jpg,right
Cond,stimuli/Sad/7.jpg,left
Cond,stimuli/Sad/44.jpg,right
Fix2,stimuli/Small/1.jpg,right
Fix1,stimuli/Old/42.jpg,left
Fix2,stimuli/Small/2.jpg,right
Fix2,stimuli/Small/10.jpg,right
Fix1,stimuli/Old/21.jpg,left
Fix1,stimuli/Old/55.jpg,left
Fix1,stimuli/Old/33.jpg,left
Fix2,stimuli/Small/6.jpg,right
Fix1,stimuli/Old/54.jpg,left
Fix1,stimuli/Old/15.jpg,left
Cond,stimuli/Sad/26.jpg,right
Fix1,stimuli/Old/6.jpg,left
Fix2,stimuli/Small/53.jpg,right
Fix1,stimuli/Old/51.jpg,left
Fix2,stimuli/Small/51.jpg,right
Cond,stimuli/Sad/35.jpg,left
Fix2,stimuli/Small/50.jpg,right
Fix2,stimuli/Small/20.jpg,right
Cond,stimuli/Sad/40.jpg,left
Fix1,stimuli/Old/13.jpg,left
Cond,stimuli/Sad/37.jpg,right
Cond,stimuli/Sad/53.jpg,left
Fix1,stimuli/Old/47.jpg,left
Fix1,stimuli/Old/29.jpg,left
Fix1,stimuli/Old/41.jpg,left
Fix2,stimuli/Small/31.JPG,right
Fix2,stimuli/Small/12.jpg,right
Cond,stimuli/Sad/14.jpg,left
Cond,stimuli/Sad/8.jpg,right
Fix2,stimuli/Small/15.jpg,right
Cond,stimuli/Sad/41.jpg,left
Fix1,stimuli/Old/31.jpg,left
Fix2,stimuli/Small/34.jpg,right
Cond,stimuli/Sad/9.jpg,left
Cond,stimuli/Sad/36.jpg,right
Fix1,stimuli/Old/28.jpg,left
Fix2,stimuli/Small/27.jpg,right
Cond,stimuli/Sad/51.jpg,left
Fix2,stimuli/Small/22.jpg,right
Cond,stimuli/Sad/49.jpg,left
Fix1,stimuli/Old/44.jpg,left
Cond,stimuli/Sad/32.jpg,right
Cond,stimuli/Sad/16.jpg,left
Fix2,stimuli/Small/32.jpg,right
Fix1,stimuli/Old/23.jpg,left
Cond,stimuli/Sad/18.jpg,right
Fix2,stimuli/Small/46.jpg,right
Fix2,stimuli/Small/9.jpg,right
Cond,stimuli/Sad/10.jpg,left
Fix1,stimuli/Old/49.jpg,left
Fix1,stimuli/Old/57.jpg,left
Fix2,stimuli/Small/52.jpg,right
Fix1,stimuli/Old/48.jpg,left
Fix1,stimuli/Old/17.jpg,left
Fix1,stimuli/Old/56.jpg,left
Fix1,stimuli/Old/4.jpg,left
Fix1,stimuli/Old/50.jpg,left
Fix1,stimuli/Old/36.jpg,left
Fix2,stimuli/Small/44.jpg,right
Cond,stimuli/Sad/15.jpg,left
Fix2,stimuli/Small/45.jpg,right
Fix2,stimuli/Small/56.jpg,right
Fix2,stimuli/Small/4.jpg,right
Fix2,stimuli/Small/40.jpg,right
Fix1,stimuli/Old/53.jpg,left
Fix1,stimuli/Old/7.jpg,left
Fix1,stimuli/Old/16.jpg,left
Fix1,stimuli/Old/46.jpg,left
Fix1,stimuli/Old/24.jpg,left
Fix2,stimuli/Small/19.jpg,right
Fix1,stimuli/Old/20.jpg,left
Fix2,stimuli/Small/57.jpg,right
Fix2,stimuli/Small/59.jpg,right
Fix1,stimuli/Old/35.jpg,left
