Text,Block1Type,Block1Stim,Block1Corr,Block2Type,Block2Stim,Block2Corr,Block3Type,Block3Stim,Block3Corr,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Block1_loop.thisRepN,Block1_loop.thisTrialN,Block1_loop.thisN,Block1_loop.thisIndex,Block2_loop.thisRepN,Block2_loop.thisTrialN,Block2_loop.thisN,Block2_loop.thisIndex,Block3_loop.thisRepN,Block3_loop.thisTrialN,Block3_loop.thisN,Block3_loop.thisIndex,welcome_text1.started,welcome_text1.stopped,welcome_text2.started,welcome_text2.stopped,welcome_text3.started,welcome_text3.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,instruct_text1.started,instruct_text1.stopped,instruct_text2.started,instruct_text2.stopped,instruct_resp1.keys,instruct_resp1.rt,instruct_resp1.started,instruct_resp1.stopped,start_text1.started,start_text1.stopped,start_text2.started,start_text2.stopped,start_resp1.keys,start_resp1.rt,start_resp1.started,start_resp1.stopped,image1.started,image1.stopped,text1.started,text1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,trialCorrect,feedback_text1.started,feedback_text1.stopped,break_text1.started,break_text1.stopped,break_resp1.keys,break_resp1.rt,break_resp1.started,break_resp1.stopped,intructRemind_text1.started,intructRemind_text1.stopped,instructRemind_text2.started,instructRemind_text2.stopped,instructRemind_resp1.keys,instructRemind_resp1.rt,instructRemind_resp1.started,instructRemind_resp1.stopped,start_text3.started,start_text3.stopped,start_text4.started,start_text4.stopped,start_resp2.keys,start_resp2.rt,start_resp2.started,start_resp2.stopped,image2.started,image2.stopped,text2.started,text2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,feedback_text2.started,feedback_text2.stopped,break_text2.started,break_text2.stopped,break_resp2.keys,break_resp2.rt,break_resp2.started,break_resp2.stopped,start_text5.started,start_text5.stopped,start_text6.started,start_text6.stopped,start_resp3.keys,start_resp3.rt,start_resp3.started,start_resp3.stopped,image3.started,image3.stopped,text3.started,text3.stopped,key_resp3.keys,key_resp3.corr,key_resp3.rt,key_resp3.started,key_resp3.stopped,feedback_text3.started,feedback_text3.stopped,end_text1.started,end_text1.stopped,end_text2.started,end_text2.stopped,end_resp.keys,end_resp.rt,end_resp.started,end_resp.stopped,participant,sex,age,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,114.3312080996111,None,114.3312080996111,None,114.3312080996111,None,return,12.956063400022686,114.3312080996111,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Female,23,001,2021_Mar_10_1809,cal_abstract,2020.2.4,60.00412825957584,
"You will be presented with a series of images. It is your job to learn, through trial and error, whether the “Left” or “Right” arrow key should be pressed for each image.",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,127.49916430003941,None,127.49916430003941,None,return,2.1473567001521587,127.49916430003941,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Female,23,001,2021_Mar_10_1809,cal_abstract,2020.2.4,60.00412825957584,
"For some images you should always press “Left”, and for others you should always press “Right” arrow key.",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,129.67550499970093,None,129.67550499970093,None,return,0.47754629980772734,129.67550499970093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Female,23,001,2021_Mar_10_1809,cal_abstract,2020.2.4,60.00412825957584,
Some images are special: the correct response is the opposite of the preceding correct response.,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,130.1865459997207,None,130.1865459997207,None,return,0.4653676003217697,130.1865459997207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Female,23,001,2021_Mar_10_1809,cal_abstract,2020.2.4,60.00412825957584,
"That is, if the previous correct answer was “Left” then the correct response would now be “Right”.",,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,130.68812479963526,None,130.68812479963526,None,return,0.963279000017792,130.68812479963526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Female,23,001,2021_Mar_10_1809,cal_abstract,2020.2.4,60.00412825957584,
"After each response, you will be told whether you got the item correct or incorrect.",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,131.68850649986416,None,131.68850649986416,None,return,0.6219124998897314,131.68850649986416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Female,23,001,2021_Mar_10_1809,cal_abstract,2020.2.4,60.00412825957584,
"You can take as long as you like on each image, but the task will not continue until you press the “Left” or “Right” arrow key.",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,132.33794320002198,None,132.33794320002198,None,return,0.6706310003064573,132.33794320002198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Female,23,001,2021_Mar_10_1809,cal_abstract,2020.2.4,60.00412825957584,
"The experiment will have three blocks, each block will take approximately 10 minutes to complete.",,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,133.03903029998764,None,133.03903029998764,None,return,0.6699785999953747,133.03903029998764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Female,23,001,2021_Mar_10_1809,cal_abstract,2020.2.4,60.00412825957584,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.7295610997826,None,133.7295610997826,None,s,1.2375904000364244,133.7295610997826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Female,23,001,2021_Mar_10_1809,cal_abstract,2020.2.4,60.00412825957584,
,Fix1,stimuli/Sad/1.jpg,left,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.10075420001522,None,135.10075420001522,None,right,0,104.83760369988158,135.10075420001522,None,0,239.9805773999542,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Female,23,001,2021_Mar_10_1809,cal_abstract,2020.2.4,60.00412825957584,
