Block1Type,Block1Stim,Block1Corr
Fix1,stimuli/Dangerous/23.jpg,left
Cond,stimuli/Smell/2.jpg,right
Fix2,stimuli/School/52.jpg,right
Cond,stimuli/Smell/21.jpg,left
Fix2,stimuli/School/58.jpg,right
Cond,stimuli/Smell/14.jpg,left
Fix2,stimuli/School/24.jpg,right
Fix2,stimuli/School/41.jpg,right
Fix2,stimuli/School/17.jpg,right
Fix2,stimuli/School/34.jpg,right
Cond,stimuli/Smell/12.jpg,left
Cond,stimuli/Smell/59.jpg,right
Fix1,stimuli/Dangerous/29.jpg,left
Fix1,stimuli/Dangerous/34.jpg,left
Fix2,stimuli/School/31.jpg,right
Cond,stimuli/Smell/26.jpg,left
Cond,stimuli/Smell/42.jpg,right
Fix1,stimuli/Dangerous/36.jpg,left
Fix2,stimuli/School/9.jpg,right
Cond,stimuli/Smell/9.jpg,left
Cond,stimuli/Smell/32.jpg,right
Fix2,stimuli/School/32.jpg,right
Cond,stimuli/Smell/36.jpg,left
Cond,stimuli/Smell/7.jpg,right
Fix1,stimuli/Dangerous/11.jpg,left
Cond,stimuli/Smell/48.jpg,right
Fix1,stimuli/Dangerous/15.jpg,left
Fix2,stimuli/School/36.jpg,right
Fix1,stimuli/Dangerous/9.jpg,left
Cond,stimuli/Smell/55.jpg,right
Fix1,stimuli/Dangerous/39.jpg,left
Fix2,stimuli/School/20.jpg,right
Fix1,stimuli/Dangerous/38.jpg,left
Cond,stimuli/Smell/31.jpg,right
Fix1,stimuli/Dangerous/49.jpg,left
Fix1,stimuli/Dangerous/35.jpg,left
Fix2,stimuli/School/19.jpg,right
Fix1,stimuli/Dangerous/31.jpg,left
Cond,stimuli/Smell/27.jpg,right
Cond,stimuli/Smell/1.jpg,left
Fix2,stimuli/School/12.jpg,right
Fix2,stimuli/School/18.jpg,right
Fix2,stimuli/School/42.jpg,right
Fix1,stimuli/Dangerous/59.jpg,left
Fix1,stimuli/Dangerous/26.jpg,left
Cond,stimuli/Smell/46.jpg,right
Fix1,stimuli/Dangerous/25.jpg,left
Fix2,stimuli/School/21.jpg,right
Fix1,stimuli/Dangerous/33.jpg,left
Cond,stimuli/Smell/56.jpg,right
Fix2,stimuli/School/49.jpg,right
Cond,stimuli/Smell/20.jpg,left
Fix2,stimuli/School/5.jpg,right
Fix1,stimuli/Dangerous/50.jpg,left
Fix2,stimuli/School/53.jpg,right
Fix2,stimuli/School/29.jpg,right
Cond,stimuli/Smell/47.jpg,left
Cond,stimuli/Smell/54.jpg,right
Fix2,stimuli/School/35.jpg,right
Fix2,stimuli/School/59.jpg,right
Fix2,stimuli/School/8.jpg,right
Fix2,stimuli/School/4.jpg,right
Fix2,stimuli/School/23.jpg,right
Fix2,stimuli/School/11.jpg,right
Cond,stimuli/Smell/39.jpg,left
Fix1,stimuli/Dangerous/18.jpg,left
Fix1,stimuli/Dangerous/10.jpg,left
Cond,stimuli/Smell/30.jpg,right
Fix2,stimuli/School/3.jpg,right
Fix2,stimuli/School/57.jpg,right
Cond,stimuli/Smell/49.jpg,left
Cond,stimuli/Smell/29.jpg,right
Fix1,stimuli/Dangerous/58.jpg,left
Fix2,stimuli/School/10.jpg,right
Fix2,stimuli/School/50.jpg,right
Fix1,stimuli/Dangerous/46.jpg,left
Cond,stimuli/Smell/50.jpg,right
Cond,stimuli/Smell/45.jpg,left
Fix1,stimuli/Dangerous/40.jpg,left
Fix1,stimuli/Dangerous/1.jpg,left
Cond,stimuli/Smell/4.jpg,right
Fix2,stimuli/School/30.jpg,right
Fix1,stimuli/Dangerous/44.jpg,left
Fix1,stimuli/Dangerous/22.jpg,left
Fix2,stimuli/School/51.jpg,right
Fix1,stimuli/Dangerous/52.jpg,left
Fix2,stimuli/School/15.jpg,right
Fix2,stimuli/School/33.jpg,right
Cond,stimuli/Smell/52.jpg,left
Fix2,stimuli/School/38.jpg,right
Cond,stimuli/Smell/58.jpg,left
Cond,stimuli/Smell/18.jpg,right
Fix2,stimuli/School/39.jpg,right
Fix1,stimuli/Dangerous/28.jpg,left
Fix1,stimuli/Dangerous/32.jpg,left
Cond,stimuli/Smell/40.jpg,right
Fix1,stimuli/Dangerous/37.jpg,left
Fix1,stimuli/Dangerous/13.jpg,left
Cond,stimuli/Smell/28.jpg,right
Fix1,stimuli/Dangerous/55.jpg,left
Fix2,stimuli/School/47.jpg,right
Fix1,stimuli/Dangerous/5.jpg,left
Fix2,stimuli/School/37.jpg,right
Fix2,stimuli/School/1.jpg,right
Fix1,stimuli/Dangerous/19.jpg,left
Fix2,stimuli/School/48.jpg,right
Fix2,stimuli/School/6.jpg,right
Fix2,stimuli/School/7.jpg,right
Fix1,stimuli/Dangerous/20.jpg,left
Cond,stimuli/Smell/6.jpg,right
Cond,stimuli/Smell/23.jpg,left
Cond,stimuli/Smell/3.jpg,right
Fix2,stimuli/School/45.jpg,right
Fix1,stimuli/Dangerous/41.jpg,left
Fix2,stimuli/School/54.jpg,right
Fix2,stimuli/School/46.jpg,right
Cond,stimuli/Smell/53.jpg,left
Fix1,stimuli/Dangerous/8.jpg,left
Cond,stimuli/Smell/37.jpg,right
Cond,stimuli/Smell/44.jpg,left
Cond,stimuli/Smell/0.jpg,right
Fix2,stimuli/School/28.jpg,right
Fix1,stimuli/Dangerous/16.jpg,left
Fix1,stimuli/Dangerous/51.jpg,left
Fix1,stimuli/Dangerous/47.jpg,left
Fix1,stimuli/Dangerous/4.jpg,left
Fix1,stimuli/Dangerous/56.jpg,left
Fix2,stimuli/School/56.jpg,right
Fix1,stimuli/Dangerous/0.jpg,left
Cond,stimuli/Smell/35.jpg,right
Fix2,stimuli/School/0.jpg,right
Fix1,stimuli/Dangerous/57.jpg,left
Cond,stimuli/Smell/15.jpg,right
Fix2,stimuli/School/27.jpg,right
Cond,stimuli/Smell/11.jpg,left
Fix2,stimuli/School/25.jpg,right
Fix2,stimuli/School/44.jpg,right
Cond,stimuli/Smell/17.jpg,left
Fix2,stimuli/School/22.jpg,right
Fix1,stimuli/Dangerous/12.jpg,left
Fix1,stimuli/Dangerous/2.jpg,left
Fix2,stimuli/School/43.jpg,right
Fix1,stimuli/Dangerous/48.jpg,left
Fix1,stimuli/Dangerous/7.jpg,left
Fix2,stimuli/School/26.jpg,right
Cond,stimuli/Smell/33.jpg,left
Fix2,stimuli/School/14.jpg,right
Fix1,stimuli/Dangerous/30.jpg,left
Fix1,stimuli/Dangerous/17.jpg,left
Fix1,stimuli/Dangerous/42.jpg,left
Cond,stimuli/Smell/24.jpg,right
Fix1,stimuli/Dangerous/21.jpg,left
Fix2,stimuli/School/55.jpg,right
Fix1,stimuli/Dangerous/3.jpg,left
Fix1,stimuli/Dangerous/43.jpg,left
Cond,stimuli/Smell/22.jpg,right
Fix2,stimuli/School/40.jpg,right
Fix2,stimuli/School/2.jpg,right
Fix1,stimuli/Dangerous/53.jpg,left
Fix1,stimuli/Dangerous/27.jpg,left
Fix2,stimuli/School/13.jpg,right
Fix2,stimuli/School/16.jpg,right
Fix1,stimuli/Dangerous/6.jpg,left
Cond,stimuli/Smell/16.jpg,right
Cond,stimuli/Smell/13.jpg,left
Cond,stimuli/Smell/10.jpg,right
Cond,stimuli/Smell/5.jpg,left
Cond,stimuli/Smell/8.jpg,right
Cond,stimuli/Smell/41.jpg,left
Cond,stimuli/Smell/38.jpg,right
Cond,stimuli/Smell/57.jpg,left
Fix1,stimuli/Dangerous/45.jpg,left
Cond,stimuli/Smell/43.jpg,right
Fix1,stimuli/Dangerous/24.jpg,left
Cond,stimuli/Smell/25.jpg,right
Cond,stimuli/Smell/19.jpg,left
Fix1,stimuli/Dangerous/54.jpg,left
Cond,stimuli/Smell/34.jpg,right
Fix1,stimuli/Dangerous/14.jpg,left
Cond,stimuli/Smell/51.jpg,right
